,Gov_Satisfaction,Trust_Legal_System,Trust_Politicians,Trust_Political_Parties,Imp_New,Imp_Env,Imp_Free,Imp_Fun,Imp_Rich,Imp_Safe,Imp_Tradition,Imp_Adventure,Imp_Behave,Imp_Creative,Imp_Equality,Imp_Fol_Rules,Imp_Good_Time,Imp_Help_People,Imp_Loyal_Friends,Imp_Humble,Imp_Respect,Imp_Admired,Imp_Strong_Safe_Gov,Imp_Successful,Imp_Understanding
Gov_Satisfaction,1.0,0.42007347347072,0.6014579533874603,0.55971067801997,0.012245397311225661,0.01209443977887192,0.021550112677288753,0.015909847370225657,-0.0285792717999014,-0.011314716164850547,-0.043250439270239485,0.013213510481743346,-0.042987806442460696,0.0316155588729556,-0.010744522636385416,-0.0659866124334651,0.031035576682300475,0.009081572695595353,0.02082933297867584,0.012807160201190871,-0.03208909112861577,-0.033242856483420645,0.023605712476781348,-0.040445977525961775,-0.005292378839287953
Trust_Legal_System,0.42007347347072,1.0,0.5241458219370428,0.4973273673462683,-0.019551938910432044,-0.04462021517845957,-0.021360587738686383,-0.025109700472431315,-0.03568126319465252,-0.020858125918642077,-0.04096746878018317,0.001433038228689941,-0.05976616507432626,-0.007074390711873315,-0.06235088873333916,-0.06681524725545282,-0.036369344422719184,-0.032757342813591085,-0.03668142699732808,0.0044222940072109135,-0.06389428280506342,-0.04638436404017347,-0.041564102026395176,-0.0500268793959076,-0.07096462133454193
Trust_Politicians,0.6014579533874603,0.5241458219370428,1.0,0.8467622280032929,-0.035342837873300406,-0.027716135348642982,0.000928197745668569,-0.04745358882025117,-0.05411970216178902,-0.024345273583660468,-0.06602056965915169,-0.03053328568895974,-0.06081530862152823,-0.014215296915505769,-0.07226694444905672,-0.07171052492549906,-0.03676661338503408,-0.048263350288174474,-0.03060493850633292,-0.011202303212502008,-0.06653419127668604,-0.07593648175995875,-0.02818076039833781,-0.07318475203620886,-0.0652585456431997
Trust_Political_Parties,0.55971067801997,0.4973273673462683,0.8467622280032929,1.0,-0.03583355954222085,-0.028567182192719594,0.0039235224755141875,-0.05928541090676027,-0.05569636772122322,-0.021693505543167502,-0.06331593180647799,-0.04361562077508607,-0.05655867659063022,-0.010195691642041876,-0.0631219708272783,-0.06629102426388132,-0.039890130999209655,-0.048929144427505226,-0.03031184787281421,-0.01351672076962997,-0.06466757571194358,-0.07730968444274323,-0.030450824105873648,-0.08562774419340978,-0.05823402918641183
Imp_New,0.012245397311225661,-0.019551938910432044,-0.035342837873300406,-0.03583355954222085,1.0,0.6218085132531483,0.6406759199171457,0.6542674212387171,0.5048392770428094,0.5031905873422143,0.4637808051855961,0.70399273873781,0.46207141165951693,0.6777541090390503,0.6266232077112025,0.4483104753198835,0.5622122584621567,0.657728218697669,0.649690708721174,0.47825971604098527,0.5092078137095488,0.571189141892586,0.4477972222473911,0.6046406535988326,0.6707803153758892
Imp_Env,0.01209443977887192,-0.04462021517845957,-0.027716135348642982,-0.028567182192719594,0.6218085132531483,1.0,0.7137904503664799,0.5977936175490207,0.4331257103729067,0.6581839593510603,0.6549211806878945,0.49075119876057166,0.658333162433169,0.6483986142495439,0.7476873403971797,0.601232129221037,0.4989997702982719,0.7705987051636024,0.7904549735004304,0.6213410282393408,0.5303534176902189,0.48984383918670554,0.5789542659097483,0.5370905004477684,0.7631320792658705
Imp_Free,0.021550112677288753,-0.021360587738686383,0.000928197745668569,0.0039235224755141875,0.6406759199171457,0.7137904503664799,1.0,0.631531335066393,0.5254725212787132,0.6125457412745496,0.5268505794754984,0.5768374448265259,0.5825731832842623,0.654380295376932,0.6705722600109505,0.5319901590146484,0.5535845445747251,0.7028618621959606,0.7160470998662168,0.5714356408376651,0.5704364864623411,0.5411118092094183,0.5348370996442144,0.6006665738617099,0.6991821158844372
Imp_Fun,0.015909847370225657,-0.025109700472431315,-0.04745358882025117,-0.05928541090676027,0.6542674212387171,0.5977936175490207,0.631531335066393,1.0,0.5663491886283548,0.517983853370374,0.49439604301150697,0.6836509165097765,0.49285897959793257,0.5688411098145784,0.5678559268897627,0.45194255536667327,0.6778256550747943,0.6427018042862304,0.6602150880872306,0.48651489946670595,0.5745552148180493,0.5689405346091991,0.47706187921333865,0.634710487126168,0.6105779481686857
Imp_Rich,-0.0285792717999014,-0.03568126319465252,-0.05411970216178902,-0.05569636772122322,0.5048392770428094,0.4331257103729067,0.5254725212787132,0.5663491886283548,1.0,0.47348626363257446,0.3808718690034418,0.5599680271701187,0.4363538425813141,0.5125609842349984,0.4442128153089144,0.42413228863466096,0.48704068426638436,0.4617951227819769,0.49701934024362454,0.38687773427968986,0.5891032881095394,0.6226666139186042,0.3990222304505322,0.6586814527985416,0.45630228180729804
Imp_Safe,-0.011314716164850547,-0.020858125918642077,-0.024345273583660468,-0.021693505543167502,0.5031905873422143,0.6581839593510603,0.6125457412745496,0.517983853370374,0.47348626363257446,1.0,0.5954714262909282,0.35437156039465567,0.6711921708378149,0.5347193570332871,0.6414544252522507,0.6317213981914678,0.4652488080606918,0.6459733629638573,0.6781014204064818,0.6061285826711862,0.5153936225944545,0.4921338338129138,0.571721631203449,0.5035840420089551,0.6382099163144613
