"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","stfgov","trstlgl","trstplt","trstprt","age","agea","hinctnt","hinctnta"
"ESS1e06_7",1,"6.7","23.11.2023",1001,"FI",1,0.83815044,0.21020015,0.17617935,,,,3,7,6,,,65,5,
"ESS1e06_7",1,"6.7","23.11.2023",1002,"FI",1,0.91754323,0.21020015,0.19286773,,,,6,5,7,,,77,4,
"ESS1e06_7",1,"6.7","23.11.2023",1003,"FI",1,1.226169,0.21020015,0.2577409,,,,4,7,7,,,36,6,
"ESS1e06_7",1,"6.7","23.11.2023",1004,"FI",1,1.0568793,0.21020015,0.22215618,,,,3,7,4,,,28,7,
"ESS1e06_7",1,"6.7","23.11.2023",1005,"FI",1,0.9457139,0.21020015,0.1987892,,,,5,4,4,,,23,6,
"ESS1e06_7",1,"6.7","23.11.2023",1006,"FI",1,0.8028325,0.21020015,0.1687555,,,,7,7,6,,,15,8,
"ESS1e06_7",1,"6.7","23.11.2023",1007,"FI",1,0.91754323,0.21020015,0.19286773,,,,7,5,7,,,75,4,
"ESS1e06_7",1,"6.7","23.11.2023",1008,"FI",1,0.9236146,0.21020015,0.19414392,,,,5,7,5,,,20,3,
"ESS1e06_7",1,"6.7","23.11.2023",1010,"FI",1,1.2691058,0.21020015,0.26676622,,,,5,6,5,,,44,88,
"ESS1e06_7",1,"6.7","23.11.2023",1011,"FI",1,0.8638738,0.21020015,0.1815864,,,,5,0,5,,,74,88,
"ESS1e06_7",1,"6.7","23.11.2023",1012,"FI",1,0.9342099,0.21020015,0.19637105,,,,6,9,7,,,73,8,
"ESS1e06_7",1,"6.7","23.11.2023",1013,"FI",1,0.8028325,0.21020015,0.1687555,,,,5,4,0,,,18,5,
"ESS1e06_7",1,"6.7","23.11.2023",1014,"FI",1,0.8028325,0.21020015,0.1687555,,,,7,10,8,,,18,88,
"ESS1e06_7",1,"6.7","23.11.2023",1016,"FI",1,0.9909977,0.21020015,0.20830786,,,,6,8,3,,,80,88,
"ESS1e06_7",1,"6.7","23.11.2023",1017,"FI",1,0.9246943,0.21020015,0.19437088,,,,8,8,5,,,65,6,
"ESS1e06_7",1,"6.7","23.11.2023",1018,"FI",1,1.2357254,0.21020015,0.25974965,,,,5,9,5,,,37,9,
"ESS1e06_7",1,"6.7","23.11.2023",1019,"FI",1,1.1025863,0.21020015,0.2317638,,,,7,8,3,,,48,6,
"ESS1e06_7",1,"6.7","23.11.2023",1021,"FI",1,1.2691058,0.21020015,0.26676622,,,,6,8,5,,,37,4,
"ESS1e06_7",1,"6.7","23.11.2023",1022,"FI",1,1.0165129,0.21020015,0.21367115,,,,7,8,5,,,30,9,
"ESS1e06_7",1,"6.7","23.11.2023",1023,"FI",1,1.0634979,0.21020015,0.22354741,,,,5,4,3,,,20,88,
