,essround,edition,idno,dweight,pspwght,pweight,anweight,prob,stratum,psu,stfgov,trstlgl,trstplt,trstprt,hhmmb,gndr,age,agea,ablrtr,anctry1,anctry2,atncrse,brwmny,chldhhe,chldhm,cmsrv,cmsrvp,crpdwk,crpdwkp,dngdk,dngdkp,dngna,dngnap,dngnapp,dngoth,dngothp,dngref,dngrefp,domicil,dsbld,dsbldp,dvrcdev,dvrcdeva,edctn,edctnp,edufld,edulvla,edulvlb,edulvlfa,edulvlfb,edulvlma,edulvlmb,edulvlpa,edulvlpb,eduyrs,eisced,eiscedf,eiscedm,eiscedp,emplno,emplnof,emplnom,emplnop,emplrel,emprelp,emprf14,emprm14,estsz,fxltph,faalv,hhmodwl,hincfel,hincsrc,hincsrca,hinctnt,hinctnta,hswrk,hswrkp,iccohbt,icmnart,icmsw,icomdng,icomdnp,icpdwk2,icpdwrk,icppdwk,icwhct,inttph,ioactp,iorgact,isco08,isco08p,iscoco,iscocop,jbspv,jbspvf,jbspvm,jbspvp,lvghw,lvghwa,lvgoptn,lvgptn,lvgptna,lvgptne,lvgptnea,mainact,marital,maritala,maritalb,marsts,mbltph,mbtru,mnactic,mnactp,moalv,njbspv,njbspvp,occf14,occf14a,occf14b,occf14ie,occm14,occm14a,occm14b,occm14ie,orgwrk,partner,pdjobev,pdjobyr,pdwrk,pdwrkp,rmhhus,rshpsts,rtdsbyr,rtrd,rtrdp,tporgwk,uemp12m,uemp3m,uemp5yr,uempla,uemplap,uempli,uemplip,wkdcorp,wkhct,wkhtot,wkhtotp,wrkac6m,wrkctr,wrkctra,wrkctrhu,wkdcorg,wkdcorga,nacer1,nacer11,nacer2
essround,1.0,-0.702781854322788,0.6739656141306591,,5.005111956082826e-09,0.712646901611302,0.35055338589452995,0.999999999999998,0.06908257536974327,-0.8785193155974496,-0.0606798507761399,7.33302021482324e-05,-0.005642992226543728,-0.022507312179750577,-0.06050860013042201,-0.010930712464433822,,0.09648863239826858,,0.007954961556325187,-0.05007083471043371,-0.029019776377978406,-0.023950843213859523,-0.051601764847037414,0.0289918151573235,-0.004315299570776887,-0.004797935516060223,-0.015755354701357426,-0.009280225696484429,0.002321426697169186,-0.014351377600747207,0.01014524190485173,-0.01021598448890102,0.007980707989553559,0.044164983931119374,0.020658293199223503,,0.008336622712217304,-0.07438349275699466,0.026225815952793805,0.009721195938671582,0.0017075014216131616,-0.026807607831129884,-0.01529625587338555,0.009290375218036832,-0.043232908224488144,0.0008883210129553155,0.07726935354953393,-0.051152590345797194,0.02775624681642577,-0.045526430392018716,0.036921783983661506,-0.014031419583679735,0.006801322460607594,0.13545458079712144,0.5655832974090973,0.11856381521825068,0.12200366833338407,0.2289797403121656,-9.637927619186562e-05,0.016118691746917335,0.03757130371622966,-0.011239625747817788,-0.04354881642264817,0.015854035411088804,-0.01830552463019891,-0.06462551165790367,0.005745562756479141,0.19482492091267345,,,-0.06991474679681212,,-0.006974004070647214,-0.011870246669578746,-0.03590182259734148,0.007167049544536188,-0.006481016522384919,-0.012202856065044574,,,-0.02332432931779035,0.0070045045276406395,,0.01930026912716331,-0.0016203732681380728,0.009758426306191515,-0.0654879533095295,-0.03258298958235926,-0.008985438671671118,-0.01411577248044397,0.008694428224841297,0.00030918005597007156,0.007367634490268521,-0.03807671478784382,-0.02128654906596524,-0.05284657891729982,0.006947070337135243,0.00010993963966449884,0.0175270735904345,0.026000151538355776,-0.007766187493870879,-0.025733558222332358,0.014175486281550229,-0.004801895970905014,-0.09077341763748538,-0.01192177529061589,0.018072614799240078,0.002242250352038568,-0.016115962509543308,-0.01584558152759913,-0.022211734135786268,0.03652907331665232,-0.07354990258064888,,-0.020871543632504676,0.002975032631306651,,-0.007691668860145322,0.005265236563529558,,,0.011298107721228036,-0.03241902498618907,,,-0.03734875090059278,-0.02061663827181407,-0.03145659922410368,-0.01656911797095667,-0.013892050602218724,,-0.0008239591989474011,,0.05781379127935296,0.03394572958070864,-0.024843975648096824,-0.021580349665144653,-0.02052566538063119,-0.12544911131801562,0.015993967028624555,-0.013941964494780894,-0.009945045791835312,0.0043056877738741044,-0.1257234786409907,-0.021065285039600392,-0.023237532284401535,0.016626662537832928,-0.03197244921496158,,-0.02466940470564343,,,-0.018844812987235296,,0.08153222142327911,-0.028173904320811585
edition,-0.702781854322788,1.0,-0.3648485174507147,,7.71304971631414e-09,-0.28832821000051834,-0.13748315376569892,,,,0.039963913180195695,0.0005809853759447236,0.0062233675781890015,0.025728633770337392,0.04747923486878201,0.007010188739065721,,-0.08017452987393531,,0.010471931533156545,-0.0408374797091602,0.04137779776462017,0.02037744224861517,0.05156195681193858,-0.02156255103204092,0.003615508427028848,0.004634402043782194,0.026899677099709814,0.03136370937835942,-0.0010622660807085235,0.016365823492188205,-0.009829860903300205,0.029626030773801954,0.0028370718305880146,-0.01414511391242196,-0.013287979230281544,,-0.001401078752605154,0.04801224300250286,-0.01961789749954208,-0.019514419713058447,0.009041505716642289,0.0006650361549162259,0.027954073732729852,-0.005790572039276374,-0.0727014717945653,0.012758295431090404,0.002527234425742698,0.034412978522505834,-0.015640633499209064,0.035969914394857284,-0.0028822775505677966,0.029980549452559704,0.01472231530020357,-0.09464261051755427,-0.45464376740823154,-0.13739208871094666,-0.12620338920736307,-0.288402050762731,0.003269058409939219,-0.012802067710943882,-0.023616126645361026,0.016557920821992655,0.027924081621627503,-0.01488190107029281,0.02255411024861556,0.04941845858543817,-0.0005127986653189726,0.002068455935184584,,,0.037687492860436246,,-0.005400145419398048,0.020425871587136008,0.03323042492339854,0.006364419292018124,-0.008232697451762312,0.017467122904167076,,,0.02553636618369895,-0.005338328987673323,,-0.02363278609996149,0.012973373236322283,0.0100717272198463,-0.06548795330952946,-0.029484509897607182,0.0009280058683270329,-0.048446298023328754,-0.001474923133343731,-0.005173521631835613,-0.014563108527577973,0.022734284747998327,0.018946487847189556,0.030494747811270286,-0.006849066313982589,-0.00010993963966445121,0.017527073590434608,-0.026000151538355776,0.007766187493870836,-0.025733558222332517,-0.012814338692767267,-0.005773917032910976,0.02398754460457741,0.011921775290615949,0.018072614799240123,-0.012429598300027047,-0.01810179852189132,-0.015845581527599076,0.0230743236967586,-0.03231950070382382,0.04326676503090089,,0.010093753852352902,-0.00785948713913092,,-0.007691668860145271,0.006511413708701562,,,0.011298107721228018,0.013305932581954906,,,0.05369136383830792,0.027912900208368285,0.03459686309989016,0.026973078947828022,0.01899009577421664,,0.013518553613888876,,-0.047495152080672995,-0.031555853458723464,0.010439777737990652,0.012589214844709673,0.009581232903716694,0.18032858643743535,-0.026567510944713064,0.004927971992998357,0.001962397473967408,-0.012740715313635676,-0.09354235049613673,0.024152745998632732,0.014172188410526984,-0.013674459355547848,0.01885327495986701,,0.012416314970468379,,,0.006672829452214167,,0.08699860368761916,-0.0057463954500640065
idno,0.6739656141306591,-0.3648485174507147,1.0,,0.005374789226427419,0.5765055734897062,0.2757846262492416,-0.4566352141870053,-0.034107489508630504,0.4067048625349823,-0.035147584387346574,0.005664756068335343,0.0025971683406186405,-0.004840595763999729,-0.03848875354856527,-0.0011334852755573387,0.03732829892735386,0.059433786351160374,0.0029925718941557875,0.0006062177715624232,-0.009368801655103703,-0.011350992570203047,0.011338797973279913,-0.03891326402120511,0.028466144317257403,-0.0010539923673338984,-0.0023615955336736714,-0.01369920781150617,-0.0025620053976906964,0.005458960639470137,-0.00902175829971515,-3.325302443060114e-05,0.0016113734481265174,0.007029136176482465,0.03421840191118611,0.009302336432627619,,0.014588216308632121,-0.03598503650592541,0.020464422267900958,0.009167680799972239,-0.041417521539641455,0.002872745687747429,-0.0009663368710420083,0.007653273144418762,0.004276891865168103,-0.017806255585541834,0.023660454211113305,-0.007235306306324303,0.02162598877212384,0.00556971360222241,0.02070669890427244,-0.03225966540618284,0.008759411186671225,0.08872846775968762,0.39661486041046273,0.08509756072343844,0.08154248528053445,0.1578729046529465,0.0005449933835772082,0.004352953372926206,0.00965240761500412,-0.0014178898615337361,-0.022775649467467452,0.015835960236062454,-0.0077777666027303,-0.04661017464799739,0.0027198671533798556,0.13407115949690926,0.03726161995278242,-0.061530632409740695,-0.03798735788388136,0.008729842708439134,0.006483884283982427,0.017908715627325072,-0.004204901054762137,0.014743418893530197,-0.006993318414760401,-0.010838009989799176,-0.009430869895091757,-0.05551342929923239,-0.02449430492636518,0.0032214437486483877,0.03053877255516116,0.03095120358032005,-0.0116622040227941,0.01975702867233804,0.02304248460049541,-0.003839315874488522,0.0035286327958558247,-0.024428403963961298,0.003057818628248121,0.011829318128040665,0.03257765103310779,-0.014348075532746828,-0.0012611889361034735,-0.024445019474826975,0.02764236062090664,-0.038496461256646936,-0.030707955310673142,0.004032268738989534,0.03497204308734366,0.028771055496576062,-0.006062920023764116,-0.009702123113585303,-0.06985685230248984,-0.040687334089536134,-0.030323275673602375,-0.004007697550498557,-0.0005537045768925356,-0.0056236860932343735,-0.008275489101803563,0.028882014269395535,-0.055403891408054524,0.03268904927604309,-0.011142052790389205,0.009113083316138535,-0.002864315684364792,-0.01890888106115331,0.009608242780094383,,0.0017206058268770402,-0.023142679600377532,-0.011710661725355183,,0.010441676229651937,-0.0271373333478035,-0.016142343137163145,-0.01892139643342365,-0.014812241104681531,-0.010809496238129171,0.06308100849701075,0.0018431220586197401,-0.014661766675853954,0.0406801046035418,0.024963258338734504,-0.007223876175826717,-0.010785277742070802,-0.012885888938714658,-0.058197832368440956,0.004287123349860462,-0.010161216264405505,-0.011361425686169054,0.003996284303052616,-0.014519455244487079,-0.0032137610713760603,-0.003046376012502787,0.01674192739656486,-0.013619008266155148,0.026069393445886147,-0.012059788155653941,,0.05618514927176733,-0.0020038214633586854,0.011723166837877889,-0.025212742521060566,-0.00970439308988637
dweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pspwght,5.005111956082826e-09,7.71304971631414e-09,0.005374789226427419,,1.0,2.1305154854466397e-09,0.8745779449234858,-2.437875609365332e-08,0.024601258512016805,0.006643660729816959,0.010436758462635606,-0.007143184640820821,0.003660625163947103,0.017121910736152542,0.12672379417057475,0.015274706875167,-0.36379036772032186,-0.3553767351831223,-0.28794698323805784,0.032374057771708695,-0.045116742903690416,5.3404097249773907e-05,-0.021936442690614802,0.07767283770865827,-0.04099719662639389,0.028714407232881965,0.009717893435461032,-0.011550299338723237,0.14194232167945475,-0.00475770527066227,-0.000990635168587474,0.009115948878414182,0.009209923141969166,0.15836751139166869,0.026263144728506483,-0.019479777307484132,,-0.009187424752999806,-0.021033813473022862,0.023040103477490286,-0.004564363396288668,0.1291338657762354,0.09154385864636114,0.27748122434190264,0.035600182434481265,-0.08983656390058363,-0.055161729727531826,-0.28060139356346564,0.03459268602653699,0.10217376717319221,0.02731333977208218,0.10778289665647081,0.08506493832085397,0.19139037479357432,-0.13873834976750068,-0.16613689512865398,0.09850635656869673,0.10499439797001354,0.17447700598015087,0.042131767581793336,0.09804294156385202,0.1207961293274221,-0.0008897291735207973,0.13666624931033114,0.03250257933926107,-3.401067649247443e-05,-0.07343083910625763,0.0031488731022802268,0.06451040210129964,-0.19636375261856714,0.10164586622587134,0.09728787653688471,-0.01774646024007052,0.01005357323436095,0.06247657479539875,0.1243440182953543,0.025259326602321726,0.02053147010274956,0.16475735797021288,0.27909602371475095,0.16992283162909158,-0.014779092097001343,0.17154060851200045,0.0713737360849637,0.06861167674687454,0.18574025011528303,0.22267710196059576,-0.08734514426730906,-0.010965756066462622,0.10337096165277355,0.1893201072420074,0.07441148667408624,0.12933672159414555,-0.01561629615358831,0.192134311316903,-0.0580457470369063,-0.13403176158999447,-0.011993782573247517,0.02796384866963414,0.14323138798293944,0.011749238046174067,-0.03230024441185715,-0.12995457466431706,0.0006436829855040771,0.0721491555056827,-0.040881641157192554,0.029446657931522926,0.16030433413034378,0.15580891563264,-0.23958420140154307,-0.060769458076160486,0.14161233522977326,-0.09161312608823956,0.021246740946425268,-0.2542112127472425,0.12950158186980293,0.006731402299773836,0.028893708146172235,0.009834665979380269,0.031594883863559596,,0.0179784027097823,-0.06118513866789853,-0.034261330497727345,,-0.07070450874396253,0.06516135076686991,0.020717689480379102,0.06722863084097516,-0.007753482574901248,-0.02980158587611746,0.06300107581969387,0.20055344881988885,0.296653477955557,-0.2253536787584886,-0.190966952485272,0.20055950719405524,-0.024603720175907184,-0.020957358492392147,-0.03464161535913922,0.049016214117938675,-0.0004794658613942155,0.03860354068044686,-0.00219589272137826,-0.0034963523710620703,0.0930969600264527,0.08831845046373372,0.03078982213808723,0.18238274276071803,-0.05906565968199763,0.09622048569091005,,-0.08717622677558594,0.11345386137333985,-0.023446209013310387,0.08501474861045832,0.16107241064762767
pweight,0.712646901611302,-0.28832821000051834,0.5765055734897062,,2.1305154854466397e-09,1.0,0.46893101861634534,1.0000000000000009,0.06908257536974327,-0.8785193155974481,-0.027033726533784986,0.005735716041611364,0.006890518080388313,-0.008334705987709941,-0.0476251397049121,-0.004559609633318254,,0.06763453181934195,,0.00562493314980326,-0.0517224537767807,0.001201943680622277,-0.004384066457632463,-0.04551511469879713,0.015415947742033458,-0.0030467952296095455,-0.007960814674752856,-0.005685032983845924,-0.002789042171866131,0.006667085372386456,-0.006924481926528421,0.0020059333980176584,-0.00028655942227472444,0.008885527191684613,0.025999235760274086,0.005037574501152772,,0.005982237544476628,-0.0516369504452959,0.01521231039226139,-0.0017818797273966088,-0.014368613426802452,-0.02355757130037063,0.005275868157996866,0.010005370511559296,0.09278097044707374,-0.0030344490566486795,0.06359285620934327,0.003101522557606797,0.01169691500955005,0.003543303136826188,0.02673648873164444,-0.018595577981578557,0.014632603345243338,0.09527182073353596,0.357987085603983,0.08380158233587434,0.09391134509418506,0.18155983714918664,0.0033105378868371928,0.013529440403261575,0.010668354912435892,0.008912382053603297,-0.029283611411409134,0.013280488013742752,7.080382290312647e-05,-0.03840163687318518,0.015272319091980563,0.006274955370279768,,,-0.06404124507610265,,0.007028215054727477,-0.00305996093676019,-0.02277384871130354,0.01288008348838249,-0.008677251614186136,0.009118673373656294,,,-0.0025525858209185285,0.0006246216710165392,,0.01738598462859775,0.001362617738769899,0.00993981516637839,0.06548795330952961,0.013802383213986576,-0.007546883791151352,-0.017380646420711302,0.008428926133453458,0.0033828878816960528,0.02264098534310825,-0.021697334915003634,-0.006032093361609501,-0.009664853642164694,0.023316898550639883,0.00010993963966367844,-0.017527073590434438,0.026000151538356504,-0.0077661874938698035,0.025733558222332423,-0.009055972608836282,-0.0074131894755784765,-0.10183377499848441,-0.011921775290616776,-0.01807261479924008,0.00013616353055885755,-0.017955589984461475,0.01584558152759913,-0.00406452551024901,0.024428359761873936,-0.06493866462430808,,-0.00426491960366248,0.007905989533722221,,-0.007691668860145115,0.011955135060508309,,,0.01129810772122813,-0.028547921539263995,,,-0.017614147489150737,-0.009673973423400227,-0.01578648925452374,-0.006364938191666926,-0.010920661212524456,,0.009109482345693974,,0.04747067261200619,0.033023582422363966,-0.019279430900051134,-0.02243345960023569,-0.022810556247509793,-0.0669868316633293,0.0016291209394529056,-0.010848301595562519,-0.008368691645054768,-0.0054035386985860625,0.008404993854934149,-0.00478971455464374,-0.014668674147706234,0.017227958472165038,-0.01776543041489751,,-0.018932616473878422,,,-0.015300245237372284,,-0.06385386042702468,-0.02264125623011198
anweight,0.35055338589452995,-0.13748315376569892,0.2757846262492416,,0.8745779449234858,0.46893101861634534,1.0,0.18509892683460652,0.035376694211418494,-0.15610582044136226,0.00913129851516673,-0.0008036460184851069,0.00954046815460562,0.017280939082274342,0.06508625487724225,0.02473117303126957,,-0.27327148197517276,,0.033385456872518364,-0.06046566069012701,0.01450928510135158,-0.028224382659499624,0.028134757901724785,-0.014221343031911039,0.025860866852149094,0.0007408783715798161,-0.03326632424211364,0.11444107458261314,0.00021007094555243615,-0.005935727203689911,0.008748490243295198,0.007618611023984509,0.1526667537456586,0.034559901706358025,-0.014797027162381378,,-0.00463901644552331,-0.028524601846848442,0.03269472076244642,-0.009812676404797941,0.053875687857880855,0.07207029537832055,0.24423669709705356,0.04232562313784734,-0.07691689331191019,-0.03375019201643854,-0.22158260119877035,0.04063432546025527,0.09608753924588291,0.030806945687433425,0.10374512767635469,0.0684593608592283,0.17477020999868148,-0.09921891878374783,-0.018390415600812407,0.12600848366890735,0.13294274646791962,0.23668606911136608,0.04057334653992139,0.07765238428811673,0.09482221828201519,-0.007696425350520026,0.10701893310942642,0.051767812416768366,0.011211060650609244,-0.06680085772093185,0.009742083651648302,0.10639168895032428,,,0.05528258372572616,-0.017746439199551087,0.019586209161518313,-0.0013173688475754462,0.093102249537264,0.025235376460287718,0.012582122284426232,0.16002125068519965,0.27909604886124884,,-0.014502000011683348,0.19247720864002843,0.07137374589533921,0.07376634545766027,0.17897900023119195,0.2130361096518374,-0.07314337739847797,0.05451747026601777,0.09351537544071259,0.1533360306101021,0.06896061835077531,0.11100032639353546,0.030903554702308517,0.16521268603557818,-0.03604257926631973,-0.10368010923150286,0.025315644670207325,-0.049898655524587755,0.16038549607943223,0.024503824644861238,0.05112904901311025,-0.14035058672043593,-0.03498931325998382,0.05919345133928634,-0.08652470456838979,-0.06486279068643422,0.18205385933694415,0.13562030304963152,-0.2147942392721222,-0.04381854333313736,0.13317251395881077,-0.049557272338931445,-0.007475217513120742,,0.12675814627881177,0.01644027599730057,0.028893713768231417,,0.032438012252310064,,0.01797841095019981,,-0.0413265554905101,,-0.07070449993300303,0.04557676859135854,-0.0064119868823040976,0.032515036779543545,-0.03030416842786056,-0.049305095761882696,,0.18054236896993434,,-0.15190414616620257,-0.1421503924279303,0.1589371991952198,-0.028853883829986098,-0.02623096127060353,-0.06553453874607859,0.047596959701108735,-0.009062463828777031,0.03384440694355058,-0.006763756141285466,0.06733522124195566,0.07941293464423299,0.07102936225537754,0.052653855491519984,0.158098260591296,-0.05906565799974198,0.0738603255016013,,-0.08717620545440946,0.09462012046053805,-0.023446196525390716,0.09235831827224399,0.12980837371388662
prob,0.999999999999998,,-0.4566352141870053,,-2.437875609365332e-08,1.0000000000000009,0.18509892683460652,1.0,0.06908257536974306,-0.8785193155974477,0.02842703106302048,-0.01604984866935535,0.0042297908469440945,-0.016649618380275327,-0.03805037743840652,-0.011405797336377359,,0.04438682501262009,,-0.020983742892832086,-0.04467402399532569,0.049379806788179444,,-0.012542298573780933,,0.002624521201911307,-0.023231121026102718,-0.0014636470784426567,0.009524614313319177,-0.016424417268520654,-0.016424417268520654,,-0.015504467868549844,0.02189113797381298,0.004739959670131197,-0.028859112966546127,,-0.02845646939737396,0.0016345542923982062,-0.008585718380999016,-0.011406728017083152,,-0.04190022567928578,0.010394256784726025,-0.01888448698547528,,,0.023738383980011234,,-0.0019216195853194494,,0.00809975945571257,,0.01585955536216837,0.02986678199846272,0.018626023576707954,-0.00275794594626326,0.007226343763881586,0.015449762003295214,-0.0018000614164702363,,,,-0.024828912658211886,0.0017418476730856744,0.0010666050884587657,0.009175805064625153,0.018300424059847983,,,,-0.06283321878997497,,-0.007148564934728792,,-0.04485893965760166,-0.028363792804232554,-0.043321588899655705,,,,,,,,,,,,-0.01274698250087423,0.03197376180309228,0.013769958798261457,,,-0.007695956513883646,,,,,,,,,,-0.010432109454830522,-0.01859829684709738,,,0.0050520171311659425,-0.013425180084157362,,-0.009342647558029974,-0.006525778853910963,0.02819680179169047,,0.022372176413750538,,,,-0.007334434306533488,,,,-0.023349690929392247,,,,-0.00573233615982584,-0.014076357149919852,-0.0006211896178117042,-0.0070355719963949934,,0.019088946874898892,,0.023981159066888635,0.016402973571029943,-0.020164484425850022,-0.00029056011714046116,-0.008543409437506182,0.003812817221372216,-0.022263634756035166,0.002800944957253196,0.02114777291401244,-0.06030194040001323,,-0.025799638349290055,-0.036677667230685024,0.008518122536258832,-0.009537787064067323,,-0.017027120438579138,,,-0.03753175975021801,,,0.0014917862209516324
stratum,0.06908257536974327,,-0.034107489508630504,,0.024601258512016805,0.06908257536974327,0.035376694211418494,0.06908257536974306,1.0,-0.09799004105792163,-0.01983777787330147,-0.02147990878780055,-0.0033936419701427194,-0.007570762202921786,0.008706945526699185,-0.4258378015581931,,-0.003813528942496048,,0.006122801151346334,-0.019642303171983726,0.003948492756351739,,0.0051795860227623995,,0.030207405146066874,-0.040513884207902404,0.038106266633374845,-0.005011081947526597,0.010614973380441307,0.010614973380441307,,-0.039107926060418144,-0.04107836398683717,-0.03309336015878426,0.0008651668324560852,,0.0057723176230565386,-0.09004992088515018,0.00447555325030077,-0.013872829453817357,,0.015303421601561836,-0.026108089232940765,0.005084044585352176,,,0.011555043619230583,,0.02373561622214441,,0.020871454039637055,,-0.03784252222187029,0.011862281755359728,0.010997084898735,0.02289164207450038,0.01995371840478036,-0.03836085015248084,-0.042326089294556085,,,,0.01453983565303492,-0.04673623149115732,0.007017863406655537,-0.02583837598281402,0.05432868912000332,,,,-0.04940471765298728,,-0.0030064851323055395,,-0.02081634619985084,-0.0601836042096979,0.032496854226032906,,,,,,,,,0.02134667835706832,,,-0.005234307621722515,0.000341920241660904,-0.04510248757089607,,,-0.02124178793228733,,,,,,,,,,0.0012028390925838436,0.031887214876957004,,,-0.00899637718981309,0.038248486671920066,,0.01604073952865823,-0.03268758042502904,-0.006715293904158703,,-0.0783021903162855,,,,0.0017285061535527184,,,,-0.011667256692319187,,,,0.0309928623673483,0.03294333020479687,0.036664799647843284,0.03995758891949794,,-0.044088308550115335,,-0.02224339176773948,-0.0030153140270130006,0.029832499373200226,0.0027936856725041684,0.011663250921799522,4.453454322815357e-05,0.025823145385717845,-0.0055017774604685255,0.004150280031793225,0.01076634084754324,,-0.0030897772544328807,0.002222989447655521,-0.04866725985562141,0.000824758510777647,,0.03674327982368685,,,0.014277667660984348,,,-0.03128406726217521
psu,-0.8785193155974496,,0.4067048625349823,,0.006643660729816959,-0.8785193155974481,-0.15610582044136226,-0.8785193155974477,-0.09799004105792163,1.0,0.000551024322746255,0.01160924280232671,0.01903387738218817,0.0377673473974211,0.04788868064386603,0.19643135849673365,,-0.05513350027074612,,0.030489247779084183,0.02416176389562836,-0.04434796801975379,,0.014297118436608256,,-0.008649969555541752,0.02640819815748934,-0.013239289648208658,-0.01243740282122113,0.015560219816058889,0.015560219816058889,,0.02205625242254419,-0.010511492563757264,-0.003997034858237348,0.026645114497750606,,0.028730768747216574,0.0655261925109878,0.014783945273799799,0.011093216548560872,,0.04573998997432586,0.010142555165065396,0.01686071864880518,,,-0.038791409436468714,,0.005712434624094529,,-0.01347365305243625,,-0.0088518794363258,-0.04068558477286339,-0.0327567198531169,0.006755789735163733,-0.011943537414775685,-0.00818512580358213,0.018816915919861503,,,,0.027767861554884348,0.012799472402420558,0.019229659151441064,0.003790573966482605,-0.029641692428914262,,,,0.08218996036550152,,0.015061831811408426,,0.0531705319328757,0.04238347427348895,0.02620440962770008,,,,,,,,,0.05574980990131016,,,0.031154594098460178,-0.01705548913483281,0.0026598713646308904,,,0.035110616544030124,,,,,,,,,,0.01459324920720346,0.011419117103926159,,,0.006219422127460255,0.0026548198257083312,,0.0024752765614425814,0.01665032177634484,-0.02012963382591789,,0.014932817954478497,,,,0.02705999565468815,,,,0.02797391712175681,,,,-0.00857871831320679,0.0006955405374310316,-0.014092857268786197,-0.006923399779479435,,-0.007334515362728831,,-0.023481673268691806,-0.010166231666525409,0.022359798050778347,0.008687149156105127,0.01771541859058834,0.0030086154789904784,0.015227045232067945,0.004887285378971531,-0.016079775286658018,0.05401167073788615,,0.022243757217740696,0.03233232495380706,0.0020565238084026007,0.021977561155370366,,0.011576790327703914,,,0.04176771435761716,,,0.016823796043178938
