,essround,edition,idno,dweight,pspwght,pweight,anweight,prob,stratum,psu,stfgov,trstlgl,trstplt,trstprt,hhmmb,gndr,age,agea,ablrtr,anctry1,anctry2,atncrse,brwmny,chldhhe,chldhm,cmsrv,cmsrvp,crpdwk,crpdwkp,dngdk,dngdkp,dngna,dngnap,dngnapp,dngoth,dngothp,dngref,dngrefp,domicil,dsbld,dsbldp,dvrcdev,dvrcdeva,edctn,edctnp,edufld,edulvla,edulvlb,edulvlfa,edulvlfb,edulvlma,edulvlmb,edulvlpa,edulvlpb,eduyrs,eisced,eiscedf,eiscedm,eiscedp,emplno,emplnof,emplnom,emplnop,emplrel,emprelp,emprf14,emprm14,estsz,fxltph,faalv,hhmodwl,hincfel,hincsrc,hincsrca,hinctnt,hinctnta,hswrk,hswrkp,iccohbt,icmnart,icmsw,icomdng,icomdnp,icpdwk2,icpdwrk,icppdwk,icwhct,inttph,ioactp,iorgact,isco08,isco08p,iscoco,iscocop,jbspv,jbspvf,jbspvm,jbspvp,lvghw,lvghwa,lvgoptn,lvgptn,lvgptna,lvgptne,lvgptnea,mainact,marital,maritala,maritalb,marsts,mbltph,mbtru,mnactic,mnactp,moalv,njbspv,njbspvp,occf14,occf14a,occf14b,occf14ie,occm14,occm14a,occm14b,occm14ie,orgwrk,partner,pdjobev,pdjobyr,pdwrk,pdwrkp,rmhhus,rshpsts,rtdsbyr,rtrd,rtrdp,tporgwk,uemp12m,uemp3m,uemp5yr,uempla,uemplap,uempli,uemplip,wkdcorp,wkhct,wkhtot,wkhtotp,wrkac6m,wrkctr,wrkctra,wrkctrhu,wkdcorg,wkdcorga,nacer1,nacer11,nacer2
essround,1,-0.690294771,0.535153023,1.31E-05,-0.026192785,-0.440529246,-0.073016647,0.119370177,-0.553872812,-0.950438958,-0.035592663,-0.027925876,-0.009964648,-0.009933661,-0.091599106,0.038226871,,0.012682333,,0.016027847,0.022693069,0.119999246,-0.025617455,-0.129485823,0.076137665,-0.024898744,,0.084680573,0.091531841,0.007213006,0.02428843,0.025018984,0.010738026,0.028266356,-0.031112085,-0.019684151,0.002764584,-0.012905684,-0.004596031,-0.079062905,-0.057877444,0.013601339,0.053999277,-0.080847134,-0.056135896,0.013710558,-0.100078658,0.019399512,-0.003997172,-0.007547702,-0.013233445,0.012746172,0.051568394,-0.003923719,0.053973065,-0.03253949,0.006986598,0.028881227,0.006409055,-0.1616644,-0.189739918,-0.064730531,-0.110119335,-0.053405974,-0.054316488,-0.016392089,-0.04810026,-0.100182325,-0.003391402,,,-0.056698059,,-0.022133811,,0.060573959,-0.283768328,-0.194642574,0.006293331,,,0.126465804,0.040232672,,-0.05275829,-0.040709464,-0.015298226,-0.082123046,0.218473895,-0.053851376,0.01609081,-0.068512628,-0.08435193,0.091824634,-0.059558893,-0.094810363,-0.047874321,0.110292193,-0.011273362,0.014300292,-0.081079947,-0.011287138,-0.030881919,0.046272192,-0.030401886,0.289801372,0.011847545,0.00060354,-0.017999769,0.024981433,-0.067876974,0.166730654,-0.030520468,0.185068928,,0.078038407,-0.000807555,,0.120374547,-0.032782916,,,0.127328501,-0.074118796,,,0.010820301,0.080546451,0.080259805,0.085050038,0.050896686,,-0.006634189,,-0.017140854,-0.042791743,-0.008935273,0.112537842,0.108917614,0.109175526,-0.043776954,-0.043260415,-0.035432533,-0.029406669,0.220117663,-0.093744972,-0.074249375,0.094948697,-0.020299466,,-0.047139476,,,-0.067948824,,0.060070017,0.070771887
edition,-0.690294771,1,-0.155447334,-2.12E-06,0.028554713,0.136016491,0.064935391,,,,0.064757497,0.029168429,0.02212143,-0.000730643,0.070006638,-0.032526341,,-0.025635849,,0.016189685,0.035062358,-0.085312311,-0.011016811,0.11387607,-0.083950985,0.039258117,,-0.051542077,-0.063868742,-0.021222111,-0.029427178,-0.024393654,-0.01278295,-0.038398884,-0.011565296,-0.012909625,-0.002705794,0.018571147,0.042063711,0.053718382,0.040744965,-0.023830078,0.010877407,0.0621546,0.046086614,-0.165702138,0.121673596,-0.001892628,0.00574355,-0.04643543,0.004630024,-0.04853958,-0.044426181,-0.027610275,-0.035232686,0.077650495,-0.04135836,-0.051650541,-0.026557088,0.018369528,0.122638904,-0.039778287,-0.171419034,0.07408282,0.018261964,0.01381575,0.024409979,0.081188722,0.025167172,,,0.001625417,,0.010348417,,-0.046841101,0.193873996,0.135438453,-0.023287045,,,-0.108739002,-0.039006036,,0.022635371,0.045043119,-0.002145532,-0.082123046,0.141664828,0.029262332,-0.010481524,-0.02128852,0.0964084,0.062024448,0.055368232,0.084169268,0.01612371,-0.004786106,0.011273362,0.014300292,0.081079947,0.011287138,-0.030881919,-0.061371541,-0.020132857,-0.178744859,-0.011847545,0.00060354,-0.02254889,0.016835074,-0.067876974,-0.121640203,0.012874414,-0.12230345,,-0.068491977,-0.083729515,,0.120374547,-0.013830096,,,0.127328501,0.002520999,,,-0.032251796,-0.048715057,-0.043513919,-0.053098663,-0.01461359,,-0.018228173,,-0.003127285,0.032132541,0.006391467,-0.050827913,-0.051547068,-0.047059683,0.011894319,0.024051881,0.018881776,0.007722269,0.143997048,0.097177967,0.076188097,-0.093885279,0.01794657,,0.023817507,,,0.030320831,,0.060070017,0.010496749
idno,0.535153023,-0.155447334,1,-0.005620403,-0.0131943,-0.242814128,-0.02368553,-0.051945842,0.262288454,0.472937346,-0.015327463,-0.014449473,0.000617134,0.001552527,-0.054143933,0.005587567,0.178484244,0.005680905,0.088534863,-0.002442487,0.027651867,0.066895821,-0.023488067,-0.045721959,0.017626956,-0.011125848,,0.057671481,0.054073381,0.006265651,0.012917529,0.008435499,0.027493568,0.022089198,-0.027116887,-0.012188685,-0.006979059,-0.003805792,0.030108142,-0.041268088,-0.022429691,0.053733431,0.013965228,-0.034614737,-0.027037743,-0.168985282,0.021155511,-0.006604387,0.023658307,-0.007742975,0.015969633,0.002825321,0.025649095,0.015880806,0.051792902,-0.007515184,-0.004042753,0.006896258,0.017435452,-0.09084959,-0.1197737,-0.053913521,-0.130933039,-0.012788565,-0.014559615,0.005344127,-0.033891753,-0.038432237,0.101552969,-0.010399157,-0.039876359,-0.004576602,0.055763268,0.004564851,0.010244816,0.042362599,-0.152924273,-0.105250188,0.003606491,0.031339411,0.004125844,-0.117325745,0.030287967,-0.009100296,0.015656594,0.03873968,-0.001173996,-0.02665308,0.127706648,-0.01382332,-0.006282753,0.007197472,-0.026109908,0.101259097,-0.021408683,-0.056521401,-0.045232909,0.09959622,-0.047018648,0.043537423,-0.020880498,0.036427143,-0.009417236,0.018247838,-0.034602048,0.159092225,-0.03723073,0.168431139,0.009130769,0.002030274,0.077914389,0.100997518,-0.02483912,0.104780528,-0.087718926,0.046223308,-0.01404034,0.022326812,0.088927728,-0.010251149,,0.039624707,0.036908031,-0.040932096,,0.002463532,0.055985164,0.050686407,0.05475057,0.05212796,0.019041189,-0.06526483,0.012915446,0.061254728,-0.024929654,-0.033465956,0.003422221,0.064661291,0.087595539,0.061669209,-0.022560347,-0.012333774,-0.01000845,-0.018199894,0.129731327,-0.053133892,-0.044500897,-0.049381358,-6.98E-05,-0.018735062,-0.0191155,-0.024284727,-0.031202876,-0.022648183,,0.096411878,0.05209174
dweight,1.31E-05,-2.12E-06,-0.005620403,1,0.664888603,-2.52E-06,0.414158273,-0.983179011,0.135852817,-0.045089715,-0.02278373,-0.027456733,-0.027480104,-0.020299344,0.055784103,-0.000220529,-0.165001696,-0.044168556,-0.267825283,0.010147102,0.014202211,-0.026087721,-0.015979102,0.057514956,-0.054189901,-1.24E-07,,0.033782585,-0.014775413,-0.001295451,-0.002190512,0.000214458,0.006585177,-0.050021484,-0.004247539,0.002161408,-0.005873998,0.009326944,-0.174749847,-0.014299085,0.001693572,0.00597453,-0.001283272,0.027732418,0.005641801,-0.013011133,0.000209158,0.016335778,-0.037552354,-0.016469164,-0.032028486,-0.014631317,-0.068465328,-0.03775109,0.02040877,0.007062388,-0.028692497,-0.022538509,-0.05355903,-0.008914047,0.00360299,-0.041860162,-0.039452806,0.020668553,-0.070948372,-0.030739204,-0.031437115,-0.013337513,-0.017759346,-0.042548664,-0.004539102,-0.045230328,,-0.034904023,0.063019902,-0.008253698,0.006375753,0.019080446,-0.026024229,-0.009156981,0.024641773,-0.013161889,0.004560389,0.030102413,0.02007544,-0.018367038,-0.000758203,-0.049172655,-0.057142392,0.023819274,-0.021388556,-0.033469379,-0.009932278,-0.047492476,0.004287819,-0.060448194,-0.048350768,-0.026235775,0.00911931,-0.229026423,-0.004745378,-0.008298904,0.212772594,0.032629498,-0.004302906,-0.012973475,0.003503489,-0.137854286,-0.001721237,0.030028275,-0.070024865,-0.005261087,-0.017841197,-0.030979315,-0.029493403,-0.025341251,-0.020026242,,-0.013673708,-0.01935608,,,-0.055937793,-0.029301293,,,-0.053514599,0.038437864,0.035464355,0.037140605,0.040115412,0.007627706,-0.031397428,0.269551984,-0.03906623,0.02453629,-0.020251964,0.018669931,0.008082523,0.015094602,-0.000244068,0.009728587,-0.013852407,-0.007099222,-0.058584353,0.006796029,-0.003354157,-0.047449493,0.001875619,,0.000180201,,,0.022518357,,0.050040591,-0.010438693
pspwght,-0.026192785,0.028554713,-0.0131943,0.664888603,1,0.005279297,0.975408493,-0.459979191,0.08316606,-0.035418861,0.007479632,0.004343715,0.011585324,0.012465138,0.102851692,-0.137115997,-0.169255497,-0.122564809,-0.315158545,-0.007537126,-0.117540984,-0.030062813,-0.0117648,0.061313929,-0.028298491,0.007252117,,0.03694966,0.03963532,-0.000237369,-0.007889641,-0.001735817,0.003458273,0.023067816,0.017009371,0.008403814,0.000105989,-0.006125795,-0.128295292,-0.010067134,-0.017185266,0.063261105,0.039444993,0.122191704,0.007944141,0.005349139,-0.056168899,-0.007343284,-0.022531714,0.004111116,-0.00246354,0.012408398,-0.007830281,0.050399523,-0.004357572,-0.045501932,-0.009325473,0.00127724,0.02967931,-0.002368714,0.00583034,-0.03865314,-0.034585345,0.125348513,-0.021765569,-0.008815865,-0.042838255,0.054040246,0.023727593,-0.055790083,0.017188049,-0.0094804,0.002184228,-0.021991134,0.063803542,0.043269618,-0.006562687,0.021335053,0.058577351,0.154046439,0.084710241,0.015552571,0.05938661,0.143051052,-0.025535725,0.059462215,0.217641868,-0.11976431,-0.036116322,0.108665579,0.119524813,0.011721894,0.055505607,-0.015760367,0.095134564,-0.041422801,-0.071216868,-0.017387494,0.073233285,-0.101592084,0.001359864,-0.062846641,0.08948689,0.042140559,0.06961341,0.003599283,0.079163284,-0.054457957,0.051073824,-0.102689469,-0.090699665,0.064076129,-0.037897191,-0.001033357,-0.052399155,0.009825777,-0.021884076,0.033310922,0.006918927,0.012197657,,-0.036179258,-0.084520525,-0.051356341,,0.133103661,0.006243663,0.05444262,0.099396071,0.041814839,0.011745054,0.013479007,0.070906641,0.32388192,-0.130508956,-0.06475494,0.112455767,-0.005121523,0.001379512,-0.009930395,0.025247833,0.013408206,0.005866269,-0.001190061,-0.036566648,0.082115203,0.077003328,-0.006749282,0.103421406,0.07359578,0.085956588,0.057260581,-0.059802447,0.104605339,,0.060015387,0.130468682
pweight,-0.440529246,0.136016491,-0.242814128,-2.52E-06,0.005279297,1,0.199905939,-0.119370177,0.553872812,0.950438958,-0.021491527,-0.005727647,-0.017741783,-0.000578359,0.028125617,-0.005565587,,0.033376638,,-0.027108767,-0.005017879,-0.071721494,0.014336878,0.043694858,-0.003021581,-0.008630503,,-0.039212727,-0.053331387,-0.056456105,-0.032885339,-0.01420889,-0.000354435,-0.016870142,-0.075158669,-0.061404115,0.003732045,0.030805795,-0.016374568,0.026504326,0.01931054,0.033008508,-0.032529186,0.02727507,0.018533801,0.020272139,-0.127280256,-0.014632577,-0.007737112,0.015095514,-0.010220768,0.005120167,0.043336201,-0.025035652,-0.023255168,-0.043104251,0.001974524,-0.01164613,-0.027443732,0.156984375,-0.113021283,0.052750635,0.204976794,-0.038038159,0.026234153,-0.015153774,0.0123272,0.018962893,0.000789405,,,-0.003970634,,0.00720897,,-0.009249476,0.053533228,0.045224718,-0.0439894,,,0.073775634,-0.041216362,,-0.036714831,-0.044536642,-0.025356803,0.082123046,-0.206953879,0.013910535,0.032357248,-0.022323797,-0.092213651,-0.072481658,-0.004954657,-0.082450371,-0.007606545,-0.004663443,-0.011273362,-0.014300292,-0.081079947,-0.011287138,0.030881919,0.055156555,-0.000383499,-0.063640259,0.011847545,-0.00060354,-0.060007121,0.000477748,0.067876974,-0.09386133,-0.013731867,-0.030859475,,-0.035179861,0.090693373,,-0.120374547,0.024961895,,,-0.127328501,0.043871465,,,0.029295655,-0.038408034,-0.057977643,-0.032281955,-0.029233562,,-0.025727646,,0.046251406,0.037286443,-0.029459278,-0.039827612,-0.056159735,-0.037947927,-0.004424132,0.025728601,0.001454545,0.008220675,-0.208752212,-0.031506007,-0.06085887,-0.011849424,-0.005463795,,0.020094082,,,0.019942162,,-0.060070017,-0.088028443
anweight,-0.073016647,0.064935391,-0.02368553,0.414158273,0.975408493,0.199905939,1,-0.474632491,0.151605988,0.073976362,0.026036955,0.02828928,0.037467113,0.033515828,0.090196091,-0.16282176,,-0.216248494,,-0.010232984,-0.118492108,-0.0286499,-0.051306971,0.046816657,-0.015383103,0.008656339,,0.026656677,0.040911311,-0.012498025,-0.016529421,-0.007673949,3.78E-05,0.037536391,-0.007345256,-0.006604911,0.005277737,0.00200994,0.018263172,-0.003117927,-0.014671899,0.030172353,0.029910813,0.112113373,0.001842946,-0.001796986,-0.097915118,-0.011597699,-0.029594522,0.009070624,-0.022083972,0.01444891,0.005053475,0.042361483,-0.020236504,-0.06139752,-0.008990032,-0.001720547,0.020560961,0.013541931,-0.023869937,-0.01716335,0.005191277,0.107771394,0.002466243,0.004978915,-0.031523601,0.072274819,0.067456123,,,0.003179221,0.002184232,-0.000249003,,0.037278116,-0.001977342,0.025472712,0.040715277,0.154046443,,0.071488374,0.053643752,0.143051069,-0.040193919,0.04115474,0.214964502,-0.116867824,-0.0775335,0.106948583,0.124010233,0.004300597,0.04495526,-0.023112115,0.098213664,-0.030133276,-0.048222232,-0.011774765,0.104248288,-0.028477092,0.014515118,-0.084912593,0.028422365,-0.005729522,0.068113079,0.006954592,0.136879727,-0.031220021,0.034672134,-0.100584302,-0.036736163,0.069338414,-0.036686233,0.013593686,,0.008528376,-0.004091871,0.033310918,,0.016651929,,-0.036179252,,-0.041115477,,0.133103672,0.030068655,0.046640877,0.097476638,0.032087509,-0.003890266,,0.062829847,,-0.128866962,-0.086254602,0.099209552,-0.036800175,-0.018489829,-0.040236251,0.035587819,0.021868218,0.017856061,0.007904457,-0.079603438,0.063196864,0.06233899,0.024618755,0.107243377,0.073595783,0.105124947,0.057260583,-0.059802432,0.101372825,,-0.025981537,0.108037996
prob,0.119370177,,-0.051945842,-0.983179011,-0.459979191,-0.119370177,-0.474632491,1,-0.201332066,-0.065220768,0.036952568,0.020440471,0.013203069,0.012404765,0.060514292,-0.029672111,,-0.008911442,,-0.014650187,-0.035426233,0.015869794,,-0.019496104,,,,-0.048236486,-0.020704442,-2.33E-05,0.012843398,0.020240055,0.007806771,0.045563651,0.014413218,0.005584657,0.010716044,,0.670829865,0.044932859,0.017676596,,0.006012933,0.015996873,0.001023295,,,-0.042187261,,0.008672902,,-0.006835596,,0.04647518,-0.070294924,-0.05071473,0.007219772,-0.008624032,0.045639596,0.054855633,,,,0.044600891,0.057464271,-0.005424343,0.066108407,0.006807334,,,,0.093544947,,0.02916222,,-0.054926528,0.019034871,0.01406519,,,,,,,,,0.028223975,,,0.021492228,0.043460506,0.050962694,,,0.05673723,,,,,,,,,,0.014629924,-0.001513198,,,-0.003674071,-0.04492706,,0.002302946,0.034887241,-0.011802933,,0.044661433,,,,0.010419749,,,,0.103265668,,,,-0.048232115,-0.019643884,-0.052364791,-0.0636998,,0.043148038,,0.010214661,0.00385253,0.057072688,-0.056789242,-0.038653905,-0.053798408,0.027155691,0.024985896,0.018467767,0.011528059,,0.053652556,0.044919398,0.055538204,0.057015767,,0.040660529,,,0.020699648,,,0.018152344
stratum,-0.553872812,,0.262288454,0.135852817,0.08316606,0.553872812,0.151605988,-0.201332066,1,0.519684546,-0.008326323,-0.023168134,-0.0115873,-0.031463757,-0.035484787,-0.005705128,,0.006523964,,-0.014887626,0.034327986,-0.024044472,,-0.022024171,,,,0.021431664,0.002488677,0.019088844,0.021101417,-0.030751015,0.013438006,0.00523948,-0.008296004,0.002591829,0.030355269,,-0.126810122,0.017122974,0.036629628,,-0.029844441,0.012956494,0.0103,,,0.010922395,,0.02760602,,0.033674263,,0.00833088,0.016733214,0.012650262,0.02829834,0.03441001,0.008824143,-0.018159942,,,,-0.040629018,0.012645423,0.022897634,-0.007597098,-0.016815548,,,,-0.015203479,,-0.05215196,,0.170138888,-0.033176173,-0.00686251,,,,,,,,,-0.056184636,,,-0.048646758,-0.015401066,0.047835542,,,-0.047057789,,,,,,,,,,-0.037856824,-0.019158473,,,-0.010348771,-0.005356695,,-0.014859242,-0.025395726,-0.004574268,,-0.025368551,,,,0.021002925,,,,-0.009005067,,,,0.019509332,0.004783804,0.028562303,-0.009980788,,0.004734208,,-0.01317052,0.00266494,-0.047308413,0.06044157,0.019544823,0.058828762,-0.033165978,-0.028619588,0.003630033,-0.013795048,,-0.055441992,-0.066689534,-0.000671449,-0.051626428,,-0.029750592,,,-0.044194665,,,-0.021550417
psu,-0.950438958,,0.472937346,-0.045089715,-0.035418861,0.950438958,0.073976362,-0.065220768,0.519684546,1,-0.004232749,-0.042418735,0.009243965,-0.011407646,-0.015996805,-0.040916304,,0.008611228,,-0.028326929,0.035832461,-0.046874842,,-0.033616735,,,,0.029316511,-0.00623586,0.033066966,0.060958296,-0.059550194,0.001005596,0.032816886,-0.042244333,-0.008768454,0.021585523,,0.032208619,0.026281872,0.03089404,,-0.052889238,0.009305913,0.006350473,,,-0.017460924,,0.078789325,,0.072603749,,0.042796928,-0.029234436,-0.018088526,0.079194393,0.072121314,0.042733095,-0.030327069,,,,-0.019211537,0.042833319,0.107768411,0.097355552,0.053028728,,,,0.094254466,,-0.016075846,,0.11382561,-0.028549247,0.006271007,,,,,,,,,0.04818343,,,-0.043172724,0.003036728,0.0773703,,,-0.034132448,,,,,,,,,,-0.028931221,-0.036638463,,,0.038406682,-0.044250892,,-0.021052385,-0.046844711,-0.014717517,,-0.019883481,,,,0.104307581,,,,0.107848097,,,,0.023215093,0.005143977,0.034014444,-0.044804196,,0.032487611,,-0.007054793,0.00438519,-0.024837927,0.000607746,-0.021827496,-0.003420939,-0.021652068,-0.017735215,-0.010627762,-0.009157146,,-0.030867572,-0.040762374,0.037514022,-0.070602547,,-0.001224118,,,-0.035162226,,,-0.036057886
