,dweight,pspwght,pweight,anweight,stfgov,trstlgl,trstplt,trstprt,hhmmb,gndr,agea,atncrse,brwmny,chldhhe,chldhm,cmsrv,cmsrvp,crpdwk,crpdwkp,dngdk,dngdkp,dngnap,dngnapp,dngoth,dngothp,domicil,dsbld,dsbldp,edctn,edctnp,eduyrs,eisced,eiscedf,eiscedm,eiscedp,emplno,emplnof,emplnom,emplnop,emplrel,emprelp,emprf14,emprm14,estsz,hincfel,hincsrca,hinctnta,hswrk,hswrkp,icomdng,icomdnp,iorgact,iscoco,iscocop,jbspv,jbspvf,jbspvm,jbspvp,mainact,mbtru,mnactic,mnactp,njbspv,njbspvp,occf14b,occm14b,pdjobev,pdjobyr,pdwrk,pdwrkp,rtrd,rtrdp,tporgwk,uemp12m,uemp3m,uemp5yr,uempla,uemplap,uempli,uemplip,wkhct,wkhtot,wkhtotp,wrkac6m,wrkctra,wkdcorga
dweight,1.0,0.9761247204727588,0.13723176083965802,0.8085252732862193,0.02954386904842064,-0.01421652800806531,0.03380298859444197,0.026375309670011494,0.5617990711132351,-0.022480995865829845,-0.21882606104053443,-0.12569707919329096,0.10864427324921509,0.5630703454052608,-0.5906175892843157,0.0067471244466028365,0.014620136607631767,0.1289628656425819,-0.067499837863946,-0.01879373234221619,0.017349334349301852,-0.11311374359821512,-0.6089298225757452,-0.021710106379392958,0.049541487217178104,0.30619195214103073,-0.13414144161957636,0.030198222223939492,0.08053098752260561,0.13848369184038442,-0.03260736957348114,-0.04566333286261798,-0.14768517344042373,-0.08484620344546187,-0.5782021135281159,-0.06946694315282492,0.057150406885147234,-0.011987425157722914,-0.4702028880533089,0.13844123693645685,-0.5696638803635656,-0.17764270811871122,-0.10394231358236398,0.03360568754011765,-0.16271035634090783,-0.08536959162068597,2.973590141041645e-05,0.22428866865523953,0.35567448124362216,-0.11141140480388295,-0.5680806093496683,0.11646299682197453,0.1370817945438015,-0.6070453051434654,0.10872588247735818,-0.14543538391420052,-0.08512608981248218,-0.6036513606675573,-0.04928392728407226,0.0361346025335552,-0.05152314478244315,-0.39197617899810555,0.0460986945395408,-0.5340299266955457,-0.12800576182312712,-0.06816743348379907,0.1480098250256004,0.2015099852369104,0.1300354901581698,0.5656674378894081,-0.3283764117212035,-0.00979651287206516,0.09352312546618921,0.06786703303710888,0.050561115301889385,0.06954114753642908,-0.04286950035838703,0.10900702431127146,-0.04401856452098481,0.024916540735690787,0.07602237380293458,0.06393581987884683,-0.5695227627465294,0.10536990730007352,0.09736330492270003,0.11326136724795785
pspwght,0.9761247204727588,1.0,0.1627010283222532,0.8488774460370144,0.03782959236546147,-0.016420029358823963,0.018524212794672958,0.012006908682706954,0.48522465151243455,-0.009941581421981064,-0.24134973108858643,-0.12909756431647873,0.11596243689643311,0.46124160604279985,-0.4856279943262067,0.017761735563927017,0.007460094789233703,0.08119895644163515,-0.06044757559649072,-0.036079695887182406,0.013733777169835289,-0.0983796206827949,-0.48175145087058574,-0.007891659532415248,0.034676192202418764,0.22751339035093424,-0.11222034818731601,0.021677152925104533,0.16914863668401484,0.12659153325648476,-0.027110548351896156,-0.07370400629589711,-0.13469438072765755,-0.08462466619475267,-0.44921214558651434,-0.02805657641070378,0.06511890465080171,-0.02089488816056738,-0.3742602131084281,0.15760001548570826,-0.44813680710343134,-0.18744258764173738,-0.15659444460759733,0.0638239924245625,-0.12126572733365303,-0.10165766854312301,0.008538962636666095,0.18373566608910283,0.2898796483549059,-0.11838570341550801,-0.4351667153799214,0.1346089900713906,0.1644441896495647,-0.4886012611687488,0.13652385136208836,-0.1624871132127811,-0.1360024970912984,-0.48424008835944327,-0.060082951416481296,0.04663436276760206,-0.07142675696950748,-0.31970119883444875,0.0810196121870446,-0.4223463892335453,-0.1420948072523243,-0.12421298625434476,0.11112650591867214,0.17312736387502256,0.0849691457515073,0.4443227002515085,-0.288220688590436,-0.004911835576946606,0.11581646813802686,0.03939612269735675,0.021407556592153282,0.040189184322248515,-0.010096578467960405,0.10888243881148556,-0.023575935515315852,0.016754859956195304,0.09760761992330035,0.08606431766185765,-0.44761222175335286,0.12896647645502987,0.10187051613276266,0.13285514757159333
pweight,0.13723176083965802,0.1627010283222532,1.0,0.6200207839681124,0.12272174901271898,0.02196507321474091,0.05691700659213788,0.013578678114999514,0.13757798891163167,-0.0905758397035892,0.02515072889303706,-0.040034057433782265,-0.010946573498168723,0.09857287820975587,-0.11289660972004713,0.0393735272892239,-0.011466585080344217,0.043791026732555055,-0.04249272278029283,-0.04590109736766525,-0.051312262337335615,-0.0339299406146515,-0.1246426704718057,-0.10219118994132952,-0.0770356382097009,0.01070222905248508,-0.07859790892083678,0.0058887569477046,0.016823234192366095,0.005710738806398172,0.04444140558263847,-0.01620943371055812,-0.0732447900878372,-0.07156700620564584,-0.13528856122941124,0.016347651310751474,0.012395980388301782,-0.06956436410444741,-0.04903743048962141,-0.034434380834151,-0.10515930073001976,-0.13477224543503113,-0.21425352446436097,-0.006025140329715298,-0.11068141534649603,-0.16328184520538677,-0.13250358753194155,-0.20322199263918203,-0.07235867237650741,0.042829772811946255,-0.1076682526202561,-0.023499819585049563,-0.03535255649133418,-0.10348078429339339,-0.04524485674384256,-0.08265307173813734,-0.1263928191710849,-0.08453988904326948,0.13933589943458657,0.07948995030217233,-0.18172108701895406,0.0609166667078615,-0.0375044421373413,-0.044709728530616694,-0.17729442143769422,-0.17033855275790533,0.05896693508146859,0.03690055445693871,0.048364312910388146,0.09956270728272552,-0.04136185159460616,0.06261967908565998,-0.049095074280657465,-0.09554387180674952,-0.09662075796304702,-0.09426864045822986,0.03832968367628037,0.06594266445203047,0.022645475594635926,0.011681311116843729,-0.01204144076696136,-0.04411017008620542,-0.09811669393519022,-0.04427036020243896,-0.040866900187990156,-0.03788381131390453
anweight,0.8085252732862193,0.8488774460370144,0.6200207839681124,1.0,0.11132233535315969,0.01643829539674297,0.06251537784292338,0.035060780115853174,0.4120953865613797,0.007783005008011335,-0.18964067913846783,-0.11159069780634058,0.07565757268052861,0.3662100460790796,-0.3927409128901945,0.040206369923339674,-0.005204371154514777,0.06369275862858377,-0.027338996969522196,-0.0520172682129486,-0.025612665342324693,-0.09469011433883537,-0.38653769756403644,-0.051283341921880755,-0.027458712366847517,0.15847446547074426,-0.11208700853812878,0.002738557737131487,0.15271373327926546,0.08395237858554007,0.004778494639764415,-0.07652218498897446,-0.13071659360448942,-0.09225100738192142,-0.373453853448528,0.01473752188721285,0.05704792216116675,-0.05361326128570873,-0.30080597758786703,0.09972564648831989,-0.37788505456052646,-0.19946454963961505,-0.22932522605344635,0.05208596689671182,-0.11518141175304124,-0.11776749741862015,-0.029937586647787524,0.020302562298762348,0.12039399917030622,-0.05417956724951982,-0.3406454177019759,0.08395555220334673,0.10974294575893256,-0.4078053557101413,0.09231545939953716,-0.15259306561753727,-0.15891695695852073,-0.3933196577857112,0.04296513762417947,0.09885266739878486,-0.14679140301823987,-0.16738487340464164,0.08118000307516532,-0.331239299965742,-0.18234368674215987,-0.18384535274620953,0.09717872217891778,0.1332912856428102,0.06964395028781313,0.37213442586125184,-0.23474274908266388,0.0065644430826491025,0.06713800030491039,-0.026735223694952768,-0.03870570748246407,-0.026540523535663284,0.023196178113082253,0.10709730074496426,0.006422471483939806,0.008954442146254054,0.0737522111611214,0.05292730819892361,-0.3728865676914704,0.07458610395528835,0.047395179618310794,0.07629692013431869
stfgov,0.02954386904842064,0.03782959236546147,0.12272174901271898,0.11132233535315969,1.0,0.43655291449045636,0.5342322623775213,0.5385504780086837,0.011475652906781203,0.12138284463720002,-0.08237551107636099,0.06171330524844705,0.017284094817237097,0.016700096282894483,-0.013616710973959547,-0.04162456748308105,-0.04837197006269955,-0.0764353947491423,0.08803792454768972,-0.010038615378392077,-0.03794512950093487,-0.048398998060929704,0.03529436360827811,0.019890635785538353,-0.0587877604425303,-0.08618607779189769,0.006460367302199881,0.0031065076606348716,0.14670842296558484,-0.04352682737787996,-0.038357970473965566,-0.08429553946052377,0.09689907877074194,0.07430942506623994,0.033578041598309065,0.0509990156348065,0.02090841122521094,-0.030914922913010685,-0.012645646011174332,0.12416006025371792,-0.020870026098180533,0.03807525378276619,-0.09793109058998711,0.1244133544815483,0.15509574946897164,0.09407564463180727,0.20359635835052806,-0.02221777484827017,-0.10590512432322227,0.053943502515662045,0.04397556439105776,0.1356539318740785,0.15439230248512037,-0.023631599364912752,0.16256346202102298,0.015181985286157725,-0.09550340366038673,-0.023049317495804942,0.06391870412226024,0.14179349487396048,-0.03546896377310805,0.07449008563555934,0.17493055136076763,-0.025504413506562365,0.05069343165046662,-0.09320401781143169,-0.05432901468553341,0.006973747136197234,-0.07312140867072453,0.020151740400706716,-0.04140332765169078,-0.06284740884039652,0.14071535240269667,-0.09858543903960303,-0.0865681871097707,-0.1022878471732843,0.07993261449835952,-0.011755427514946456,0.012720619426157124,-0.042926960175459744,0.12727073460136165,0.13430149465115485,-0.01526714577014869,0.11972126699341609,0.09022481910967238,0.1262263089247032
trstlgl,-0.01421652800806531,-0.016420029358823963,0.02196507321474091,0.01643829539674297,0.43655291449045636,1.0,0.6345694567134391,0.6274029988701069,-0.01888583674696771,0.12285267484402468,-0.052295925466887425,0.0763589407978199,0.042111372431315075,-0.012202404635200797,0.010632959895722275,-0.0408878734002179,-0.044107957536753596,-0.08500159986273424,0.05140725752503678,-0.007641459642296801,-0.03583689992545687,-0.05323836999412715,0.026553256528441982,0.016377266936344528,-0.04194306253347181,-0.02893511385557649,0.01571132391250099,0.016346937547050005,0.09317726553509663,-0.0367819887239793,-0.037642560953796575,-0.07733619182561362,0.031980244897126336,0.008666441233066549,0.023115211552968615,0.04355190984938649,-0.02852504498160318,-0.03420404575557604,-0.012081726718503907,0.08619115588138737,-0.007867128971545298,0.04559227865100043,-0.057051917586123824,0.10239672143257302,0.09066878524232891,0.12965123603222256,0.2192061765893536,-0.007181848443162882,-0.08996981828478204,0.053867366163914514,0.029923225391257177,0.09582827918624622,0.11092950592750295,-0.005420526331183412,0.12191607465718779,0.05941197075483448,-0.04986489765489383,-0.009389795037895955,0.05387019745529849,0.1548196336829195,-0.01432525195910402,0.05308221778216137,0.129519918894787,-0.012159864941292226,0.04058750966230269,-0.050004382454824726,-0.07434101163828831,-0.031522245021389526,-0.08336233453186918,0.007927050105095366,0.007365234325118492,-0.020714780925535366,0.10841510796702626,-0.021193147822028226,-0.023550257768178214,-0.02766467121359763,0.0320668609933282,-0.00295842501774808,-0.01685313873966937,-0.05348018433568832,0.10686459838769842,0.11947942184522731,-0.003624490881806404,0.08257931149308834,0.06249613255560304,0.08667251316324959
trstplt,0.03380298859444197,0.018524212794672958,0.05691700659213788,0.06251537784292338,0.5342322623775213,0.6345694567134391,1.0,0.9501621673705973,0.04730982339605719,0.1512525065514234,-0.049442391483626155,0.09585779754731369,-0.0035373299464141568,0.05825782533602729,-0.060290891597619245,-0.04455575693229543,-0.04386673658866033,-0.0703259271573974,0.06491136561797914,0.005237029088863572,-0.03411026478578359,-0.056107956068621796,-0.04066387788229306,-0.005720441567631809,-0.03470532893715221,-0.00889341708628482,0.021207512880681605,0.028308171967815644,0.04558190638159925,-0.045703898456007315,-0.06821533129216664,-0.06420430520091293,0.04064778651675243,0.02539271171479176,-0.043696830289089265,0.057146355983207074,-0.015285583158034586,-0.026218615642982945,-0.06902340869934982,0.07141849325515792,-0.08212630676160575,0.04084929415510285,-0.04841607265305272,0.0903102773216863,0.10994718703063835,0.08397305781013413,0.2100866259891912,0.02773194668452325,-0.07873620995005107,0.06017225588166836,-0.03211919083194815,0.07881244713002979,0.09223377181655554,-0.08387563028654212,0.11399354751971971,0.05179396121040261,-0.04877380429874283,-0.0870457843885774,0.06335466500426913,0.17441380097462975,-0.003465580999783113,0.033508936239360625,0.1503133155358738,-0.0873700109454018,0.06366632147095906,-0.033499519761981636,-0.06399612760497413,-0.025492592587661206,-0.06933171788273029,0.08186158163459656,-0.029972389307667296,-0.03836608958742967,0.0964415960806973,-0.07052272173010661,-0.05829399110858998,-0.07538389087512046,0.055777102001029304,0.001240476975396759,0.007227023972821894,-0.03797804686312486,0.09295790363531177,0.1048292022270077,-0.07650277145116809,0.06793062333674754,0.04573556355575971,0.0691296415361521
trstprt,0.026375309670011494,0.012006908682706954,0.013578678114999514,0.035060780115853174,0.5385504780086837,0.6274029988701069,0.9501621673705973,1.0,0.035811755865243274,0.17242985597677293,-0.04937239346729578,0.12615073051975356,-0.006731546662805998,0.037679785376345705,-0.04315122431777584,-0.05053454630943581,-0.045829438058788766,-0.10526653185206546,0.053655375323290844,0.013722774988640584,-0.03991939007666785,-0.051819111753473306,-0.025092284293540035,0.010660013661747623,-0.030497674015053322,-0.010019238884068974,0.03574684707803928,0.036304749062833624,0.06160993905676978,-0.04599818821747449,-0.09649227612245935,-0.10061728759483624,0.05943105506204806,0.047373756062392636,-0.027975772426146517,0.055074285630927464,-0.021465447586278868,-0.033589677609591743,-0.055861498460344605,0.100547607829109,-0.06030667994165547,0.06480798118356534,-0.040489122117687765,0.1049307636281,0.14006427026617171,0.102704511493796,0.23180459814808113,0.03702384587642159,-0.0875840966608764,0.06564651650136294,-0.01751015321646048,0.10679398087057931,0.1244314630818241,-0.06331153430425043,0.1477480984046248,0.07046123573144848,-0.050315117398885306,-0.06734766592252064,0.06433022894987303,0.18095443157782107,0.024131136230802954,0.041082353954779556,0.18737370895984803,-0.0703746449242568,0.09256104713304758,-0.030058056360147856,-0.09761841850998719,-0.048208155674990254,-0.10411228432328037,0.06025979607389739,-0.0051089488661105525,-0.022722289764909514,0.12555287960861447,-0.0753998619105139,-0.06426741229231665,-0.08044315426137422,0.06803138487033245,0.008681916028670432,0.016033648997570767,-0.041563200663631186,0.1272663649665609,0.14014185660098732,-0.054316835324956604,0.09813914306484126,0.07230901652233755,0.09691282476804303
hhmmb,0.5617990711132351,0.48522465151243455,0.13757798891163167,0.4120953865613797,0.011475652906781203,-0.01888583674696771,0.04730982339605719,0.035811755865243274,1.0,0.04664367511248351,0.06731747467686428,-0.16186132708793716,0.05392330653433355,0.6351899278411267,-0.5836981340474107,-0.000921064917172576,0.003477210672903983,0.24117441573171358,0.12857554157588624,-0.023346012880695065,-0.024042091411501747,0.4121575971451196,-0.5208921108022195,-0.0545437052033392,0.0025139578971749943,0.24528237942771153,-0.1508234652500331,-0.020822575741446386,-0.01741653188621003,0.07491774455998648,0.06757418788372616,0.10398386121976484,-0.09439108492707327,-0.031734095567880836,-0.4727656327153331,-0.08828750883616956,0.0611113266253788,0.005826092139207651,-0.43099773179059825,0.07611878302501458,-0.5527518258475341,-0.11624788945913596,-0.0948591258477959,-0.01646643441113044,-0.11911283704560945,-0.017206775476975963,0.039225188051253364,0.26549616160016776,0.2964691508328464,-0.15616775640734787,-0.49673870178801116,0.06785903740452169,0.061724068970960486,-0.5847657127424735,0.045699657107466186,-0.10796283483329605,-0.08257022043307649,-0.5820390436421832,-0.09519819600852578,0.02253221640175018,-0.0625818833356002,-0.3056202213273984,0.011454887448972315,-0.5298932362583472,-0.07724687040152313,-0.08183849755503518,0.2516265349010807,0.28649749165621013,0.23697756091941488,0.5616864062421195,-0.40375110775330053,-0.19627318435308597,0.046487316623536196,0.0023813023836408076,0.018511254002504324,0.005052394460273778,-0.03824479848588119,0.05892888875108536,-0.05507058158617634,0.004053416292277252,0.03307201680978598,0.02745278045865433,-0.553370464391309,0.051281876290860486,0.059129130459733115,0.06310266563385639
gndr,-0.022480995865829845,-0.009941581421981064,-0.0905758397035892,0.007783005008011335,0.12138284463720002,0.12285267484402468,0.1512525065514234,0.17242985597677293,0.04664367511248351,1.0,0.005861182489294964,0.15561532423943958,-0.10970965955981332,0.02383445235238781,-0.022084845408818467,-0.06957332917142744,-0.023711594762652784,-0.21392438685619042,0.27231926878779816,0.03312208276369939,-0.03111751883335751,0.0030166181774476794,0.04522820188192428,0.07827143919657041,-0.08933944630103037,0.015501345449332973,0.04903352085831684,-0.05599086675844706,0.09301083365982876,-0.11019885024868213,-0.06313078985839077,-0.11964973514082007,0.05934028258787625,0.014937997189905076,0.042437462781127075,0.18133780321956752,-0.04897760570534784,-0.07264721928549797,-0.1836535812206538,0.1388633181266449,-0.10471262844262212,0.06613029763014272,-0.08262650025406368,0.07912976614414688,0.11146012488492255,0.11411510354733415,0.1664363783539653,0.3856641786214046,-0.4139356418566397,-0.1718743045607592,0.04751202033590411,0.1353732364214892,0.15597193124803255,-0.11229294904115425,0.25017316948501955,0.09855179667609348,-0.0735679032464893,-0.12563544518483122,-0.1623769248391381,0.2758413026157663,0.2449248234435066,0.16689791195503786,0.45164368220285367,-0.22658665600703398,0.06410804761585732,-0.09940866850566195,-0.21636936495614864,-0.1600812814354872,-0.217084843247412,0.11204670898087073,0.05196409122350069,-0.06037455207990139,0.16578536240418995,0.016367399900041265,0.04011687908402678,0.01559937473230832,0.04860127475584234,-0.08651775812463425,0.0459808880020149,-0.09698280155992808,0.1645341887051675,0.18578320073042404,-0.10105425045895275,0.16570853033893143,0.04510723849451954,0.13734600544398462
