,pspwght,pweight,anweight,stfgov,trstlgl,trstplt,trstprt,hhmmb,gndr,agea,atncrse,brwmny,chldhhe,chldhm,cmsrv,cmsrvp,crpdwk,crpdwkp,dngdkp,dngnap,dngnapp,dngoth,dngothp,dngrefp,domicil,dsbld,dsbldp,edctn,edctnp,eduyrs,emplno,emplnof,emplnom,emplnop,emplrel,emprelp,emprf14,emprm14,estsz,hincfel,hincsrca,hinctnta,hswrk,hswrkp,icomdng,icomdnp,iorgact,iscoco,iscocop,jbspv,jbspvf,jbspvm,jbspvp,mainact,mbtru,mnactic,mnactp,njbspv,njbspvp,occf14b,occm14b,pdjobev,pdjobyr,pdwrk,pdwrkp,rtrd,rtrdp,tporgwk,uemp12m,uemp3m,uemp5yr,uempla,uemplap,uempli,uemplip,wkhct,wkhtot,wkhtotp,wrkac6m,wrkctra,wkdcorga
pspwght,1.0,0.06378185514947597,0.8949364741757693,0.008852079499894625,-0.037857058780212276,-0.0019842110194636504,0.01637091185075849,0.15107070967103878,0.02348721673744976,-0.5782714160072883,-0.10465250097752178,-0.05041339767611478,0.11667672445319893,-0.023532398784157596,0.07580200375389062,-0.005377654796215225,0.002880546520435113,0.37418981354940567,-0.08046818491385453,-0.00723411175648922,0.2847807986402184,0.056922729503930604,-0.0766131683698227,-0.046065255302461125,-0.1139853759010771,0.03663488305403901,-0.08667569531677888,0.5881659637911967,0.06422437842920926,-0.17805251071276093,0.08681075707399193,0.25268518416554314,0.2949208496069143,0.011913958371613069,0.32527894026982446,0.03969700680217745,-0.11125187813263315,-0.29332367741152626,0.1609660936385456,0.24482892305120169,0.020819371070705053,0.33260315636917753,0.0348077073054743,-0.028804434446458957,-0.13885223365401203,0.2924881680051659,0.27866740636668746,0.35935081273369024,0.030669537586084192,0.40914034205566846,-0.19503099978083305,-0.36034820572987797,0.03128645470122248,-0.13933881463228734,0.26774814192258206,-0.2528540900366608,0.0631507069507283,0.36297631174768735,0.02678623613651359,-0.01701054146405831,-0.2072178086476613,0.05098997591907793,0.1595310702087147,0.009220342538675517,-0.03559058906805444,-0.34816064047966877,-0.42437301181296416,0.38626804247348606,-0.08374292746187505,-0.10421741513794813,-0.10322334961408784,0.15712598960514454,-0.057813487401188725,0.11573835159504815,-0.07969967650335727,0.27652391218323535,0.26241614341624436,0.03931532294115866,0.36865034831245,0.26321865026400454,0.2967530982065963
pweight,0.06378185514947597,1.0,0.48976204292619957,-0.14680864228514964,-0.06029335879479789,-0.06756659029110058,-0.09079145062244726,-0.11768595297068077,-0.022477904005731332,0.08958605518036887,-0.058259466499163734,-0.07476484173262425,-0.05537900699236381,0.008695678400421316,-0.021605032096527033,-0.03326697920958671,0.009466526229113167,-0.009307552857786804,-0.05035786768252233,-0.057963412853120976,-0.01329067354485931,0.07304658011142048,0.012795372247284512,0.0071070907376135925,-0.16858754938121698,0.058375338132962105,0.0016023166882594257,-0.05127931091493696,0.02736975561900524,0.1748242305236203,0.014725691885528658,0.03568451683085261,0.03174855949754217,-0.027056760196562894,-0.15655871021060064,-0.010540858491853053,-0.04372879559720236,-0.10739830602037642,-0.07135920982631103,-0.170028196589195,-0.05139822727804493,-0.15347439265871624,0.035939841575625305,-0.012270611371761801,-0.07144986236562427,-0.012074694629129993,-0.1284338214994658,-0.12751648101963062,-0.016405382604546208,-0.1458351274446235,-0.04882647994395402,-0.06490662820673251,-0.019094162200309284,-0.1899586276273005,-0.09119226777662853,0.017470441012967453,-0.1568751127377064,-0.06623143915853576,-0.027023077918068655,-0.02047299126322531,-0.08138131437177931,-0.0021317620183412054,-0.047565528649436334,0.009837181709462739,0.010382603036808408,0.04725679249669705,0.04232737961665586,-0.1345516087852161,-0.10372032456507949,-0.10774324929446846,-0.199111846044261,0.04980526609115447,-0.03371945867062856,-0.001717037775814714,-0.011420983925332273,-0.13472168236437218,-0.1373922437079956,-0.009967705657905442,-0.1385079932060228,-0.11391674231221317,-0.13758591120463728
anweight,0.8949364741757693,0.48976204292619957,1.0,-0.03263706697047169,-0.04621113819866393,-0.018839266806276324,-0.009079862650079847,0.031142136310863575,0.027505213610247384,-0.41646038909990296,-0.06274407939059669,-0.09001981289149391,0.019698054185822517,0.03563751505256368,0.06040677600409535,-0.02262294549943575,-0.05131043197104433,0.28247779125719347,-0.09311398737691472,-0.02782038286951455,0.2772625190868896,0.08713475190796025,-0.06360991393953574,-0.03856715527081981,-0.149152145921783,0.06980939115885607,-0.07316427075935748,0.4975525838046997,0.055118624185107136,-0.13249575874590142,0.08346170619205098,0.20090563481260149,0.2318325142918895,0.028448503080978006,0.22885984296262937,0.09071830120666666,-0.0884988617030103,-0.2628924707268467,0.1071635416784325,0.16625719384732202,0.031557501222202994,0.22885094348568488,0.030935824180518615,-0.036825385809081866,-0.1501954632629035,0.2818512759659542,0.20321994796076914,0.27281357717800225,0.07958737132296453,0.30846670976550195,-0.15502395765416183,-0.2973817187139437,0.07881076424671446,-0.19802270609155975,0.23568097127785523,-0.1625962677637466,0.006939751254305891,0.31138613634300005,0.056689187031755676,-0.006173647998200456,-0.18529882585494126,-0.015014217759267964,0.06187061536600715,-0.04553225875094699,-0.08663815396658409,-0.2220196753621552,-0.30443985275787605,0.2890449218084728,-0.1121151425927125,-0.13068607496908716,-0.1718372562178214,0.1651331502337886,-0.06454262868695355,0.11177456222226277,-0.0711413057130142,0.19956441274978903,0.18676048492135117,0.09055803760468974,0.273505732911137,0.18864330645950908,0.21120360267616914
stfgov,0.008852079499894625,-0.14680864228514964,-0.03263706697047169,1.0,0.6075213874631759,0.6460154159116369,0.6700527482079335,-0.1384628768925777,0.10962926834692983,0.14810108014037351,0.2104906284276166,0.09302347689434183,-0.1944225407551188,0.18918669937548918,-0.020427558399965094,-0.03764907495771901,-0.24741689220180577,-0.05582602983689997,-0.027037513780940898,-0.06259142391012415,0.16110682016437625,0.0021806665799723557,-0.03815202439879185,-0.04341150396170215,0.11410706324935874,-0.01819190986293054,-0.05872096408921485,0.11958371988741695,-0.09195424911205602,-0.24281564476363768,-0.031156705556342073,-0.12543847117843035,-0.14531414596653106,0.09504211151975947,0.20341998710632347,0.1941172950168174,0.058147292396916433,0.1085589286740898,0.09617671428515741,0.12604798960404268,0.1894058143698638,0.27757361801651065,-0.07409738718835486,-0.08224910273036984,0.005096774792748015,0.1596157844567425,0.29401105412850825,0.20050990795918114,0.19975797396142778,0.1857046233636367,0.10815209715177256,0.13813021052260516,0.19759689004231493,0.07700181914722513,0.2808391223782233,0.15964921174972183,0.08840059638008053,0.10708942694734677,0.12686332143113918,0.02526292363394197,0.061326731658948155,-0.2393500227260202,-0.17433920294044705,-0.2458659345286944,-0.19221282602327314,0.22534369641074237,0.11228359672623645,0.18605789735890135,0.10828066305354864,0.09560543789913979,0.11707279455658653,-0.03784329104677519,-0.07585963460660824,-0.008841457828807579,-0.04005552383096769,0.26870369672048483,0.2752494440955723,0.19326687607124998,0.183627987284369,0.15807025000500305,0.25545076383842846
trstlgl,-0.037857058780212276,-0.06029335879479789,-0.04621113819866393,0.6075213874631759,1.0,0.7378569158851839,0.7392276061912549,-0.06806068402691097,0.08918212760580166,0.11848639976490336,0.10859109665356653,0.106748835002647,-0.11464382670091997,0.10628737176142945,-0.034200541719575435,-0.03760135061942384,-0.158876608104299,-0.024882939247864486,0.02222720492257346,-0.04211211406729008,0.06844095759499072,-0.02619140456925411,-0.04546064903905871,-0.04498846456728704,0.04433521175466951,-0.02546071556476613,-0.05199947922932325,0.0726272498399909,-0.04910200183038988,-0.109392701662002,-0.025747761537828494,-0.07814503470843337,-0.09294037035949308,0.035493211414466874,0.15603640681791522,0.08344220603535024,0.008517608477521832,0.047079920195376435,0.10319363196853372,0.03111912567093854,0.0990162747716087,0.24064542255254362,-0.02967801002600614,-0.07674071999750727,-0.00929641318202667,0.07124317756439091,0.2558541292339377,0.14720379921558324,0.09023209319852567,0.12786051958179268,0.05319061810135627,0.07512614692104966,0.08815773066180102,0.048078084384446204,0.1967452708592389,0.09791003062472951,0.021457150266580387,0.02564246668252893,0.042735835378281274,-0.01668291176657703,0.011533828910982629,-0.1536647832402785,-0.10012194863746324,-0.15791464339711508,-0.08230259385126729,0.15589005976364165,0.07820888668027275,0.13747750658414862,0.1060839849393179,0.09325079267370062,0.10511270158969287,-0.0429553661242656,-0.07084456040314513,-0.038111655468363,-0.05702645053272363,0.21862459324952932,0.22685393521940528,0.08256649146661135,0.13739351085975787,0.11406296976131358,0.22128410327068043
trstplt,-0.0019842110194636504,-0.06756659029110058,-0.018839266806276324,0.6460154159116369,0.7378569158851839,1.0,0.9343596820960444,-0.049758976956645835,0.09113038627349447,0.06693376973000124,0.07750129878655843,0.11300464642631795,-0.09350274028515068,0.0905757527083804,-0.027271253987731493,-0.03219448725902763,-0.13851152624539223,-0.0021077931899607973,0.01802605141254976,-0.06600488122854943,0.07827413205439075,-0.007985709649035722,-0.03294397763578361,-0.04345723596739658,0.04312484908874431,-0.04590111554363734,-0.06633387481209553,0.10680553431217733,-0.036435600265028664,-0.08466222816687535,-0.029972187805740375,-0.08729427660849469,-0.09550434839402953,0.027541288758270024,0.16023883954864185,0.077533572963625,-0.003042538810233793,0.03556228488425164,0.09223049348970593,0.03953299888048097,0.10180704023976347,0.2377106076627338,-0.01866691987529287,-0.06736619302036026,-0.020840906156620046,0.08214601449297136,0.2519810227499276,0.15245721987297078,0.0818919428509324,0.13735474687413196,0.05062173240124782,0.06421652555171567,0.08038970233531,0.03485017419351379,0.19568876158022402,0.06718774248399594,0.018217024479318104,0.04831201035843799,0.03699288408473171,-0.03297879335831652,-0.0029677118720015175,-0.13018740762913167,-0.07295207113820125,-0.13696715506842516,-0.07616574038380626,0.11712423240857832,0.04770348015446088,0.1429264419886591,0.1082647744980744,0.0929413443623563,0.10753370510649261,-0.05262736662328316,-0.07990309012271052,-0.03795239650338155,-0.0541150777005629,0.2152744146925008,0.22054800732059565,0.07563973778830005,0.14091783710516506,0.12433660534219844,0.2169833742356178
trstprt,0.01637091185075849,-0.09079145062244726,-0.009079862650079847,0.6700527482079335,0.7392276061912549,0.9343596820960444,1.0,-0.10549296924185074,0.11453689025432776,0.093564418675687,0.14309894742223844,0.09293614395641271,-0.15243217658841737,0.1519845830704557,-0.019933165209366242,-0.034319662746087415,-0.20902318848853416,-0.0194878174052474,0.013935737452642647,-0.06693229412923611,0.1316399813037873,-0.0017363988837497905,-0.04629310864752092,-0.04424588941693865,0.061636320634461596,-0.03968976650830486,-0.06946031404361447,0.13947069578223728,-0.05162858739404464,-0.14823670278149823,-0.006612135783813265,-0.09729324071236377,-0.11136067040653888,0.07612837083822442,0.17064268370679825,0.14097789483340328,0.029794062203840108,0.0630051615682724,0.08717242508366661,0.10129214765946977,0.157579592059019,0.25332208678905893,-0.0332713912238837,-0.08472555143216493,-0.012785220888278069,0.13556903359232064,0.2750702198536631,0.1719603524308863,0.1455159802981965,0.15937474485678735,0.07708763566282051,0.08932138202924415,0.1442165602106704,0.048482132768472574,0.24386637819873697,0.11939511700682588,0.05004570270308543,0.0904240203699816,0.09314523366287104,0.00443335644255952,0.02342482452395887,-0.20047853668123736,-0.1410382261369594,-0.20717141663000316,-0.14004019391964476,0.17113332668700218,0.07149745452623098,0.160991667230958,0.09023513770076927,0.07631475225148196,0.09270261702350287,-0.029517209773000586,-0.08460637136909797,-0.011997044506187242,-0.04896904273813858,0.2312422439853972,0.23768420418023128,0.13983338810557414,0.15791874099481593,0.12601903586347019,0.23401532329980304
hhmmb,0.15107070967103878,-0.11768595297068077,0.031142136310863575,-0.1384628768925777,-0.06806068402691097,-0.049758976956645835,-0.10549296924185074,1.0,-0.12084523312795903,-0.509660636316646,-0.4677060529773908,0.16272153831612704,0.8693795517543388,-0.8295422181318536,-0.06506422880936062,0.018778082628481723,0.5508445484471239,0.16120056435492663,0.04572168042164305,0.044774957944128876,-0.6617972626280305,-0.05605283025202529,0.036200896174046135,-0.022066968676898394,0.08819591630487304,-0.1195363807021996,0.02376963579494259,-0.06214842852109887,0.20948105333717643,0.4372898208766537,-0.08646373883147924,0.20643763632882653,0.24099415128333457,-0.5209218015030638,0.084185107121001,-0.7553847741618214,-0.1888630129460612,-0.32636095179992086,0.10070986085971799,-0.26908746405674205,-0.3444813444059773,0.1389991767649371,0.40091535245121074,0.3232989744295016,0.03658279773845176,-0.6517547420392727,0.02037481889422021,0.03776301611548081,-0.734495683234672,0.03611140029057036,-0.2205318199437249,-0.3576158213222496,-0.7354063423958467,-0.03317843347697902,-0.3201032719566566,-0.4073439555577919,-0.26726613430666907,-0.17883934264888965,-0.5880157129480904,-0.16403235805873737,-0.32475685559375694,0.564169313376906,0.5979678677462911,0.5463128748912826,0.7564131430287848,-0.6191796614111265,-0.2870135527221731,0.06706135770236413,0.003673336415465815,0.010880260673355117,0.02564365262463547,-0.10731252570217312,0.09237375777412227,-0.12752126339806558,0.027262851049208208,-0.003665716358338759,-0.009554209943359999,-0.75512107990547,0.05834805326196642,0.0838718188761727,0.06461471273631504
gndr,0.02348721673744976,-0.022477904005731332,0.027505213610247384,0.10962926834692983,0.08918212760580166,0.09113038627349447,0.11453689025432776,-0.12084523312795903,1.0,0.0745798531297832,0.029374361820123773,-0.18387764116104957,-0.07777334581832651,0.07053686350611375,-0.07392745605541427,0.020198655970285476,-0.1704898442947212,0.10648572180372365,-0.04167484862857807,-0.047502784836831576,0.13513122811400013,0.01644730938048117,-0.03345143108475379,-0.015829757918948844,-0.037523756485590254,0.02627585681392762,-0.03475455006059236,0.08487216203500134,-0.16107897407923186,-0.04973879162965648,0.20809786428256033,-0.044885420797677815,-0.0469987943437574,-0.06680125422212896,0.003109539262418183,0.06924811067885053,0.02217014330618781,0.04505618022798672,0.007492512084010302,0.07150275414576807,0.061563036471593835,0.02431870208869187,0.22975244059919034,-0.2962741959367473,-0.04860426490591291,0.13598779022205684,0.03511207080317199,0.0511036003076875,0.05922442564481444,0.10476112163872693,0.04074493725570661,0.05887409032457432,0.05013135643015459,-0.04902687402282349,0.015748997034244486,0.13432351890240626,0.07305430243038445,0.27776323880414683,-0.051174257182664495,0.010686647967064256,0.03790965130827277,-0.1698320179839432,-0.1608608857861843,-0.16903869003950994,-0.062188427431681105,0.1193737695215433,-0.005771486900473546,0.019832503309337533,0.04444249999489094,0.03643708586360394,0.0420328766369441,0.005971064721068298,-0.1093086293373411,0.00969520334303839,-0.06440280920028925,0.03791752316223732,0.044205149535634335,0.06802634227845286,0.04532769880496834,-0.10778049453189258,0.026795800176810977
agea,-0.5782714160072883,0.08958605518036887,-0.41646038909990296,0.14810108014037351,0.11848639976490336,0.06693376973000124,0.093564418675687,-0.509660636316646,0.0745798531297832,1.0,0.6391633280039748,-0.08702671622081255,-0.5758698002603067,0.4149365210683241,-0.0678625523324847,-0.016492021695134394,-0.5337395783108955,-0.6392095968550427,0.01213449125430986,-0.02301155506836102,-0.05681661099858701,0.011653320076577036,0.026613084262503348,0.03540663548950532,0.3457675985485735,0.12183969158917095,0.09524854423044532,-0.5408686924562577,-0.2574553657635069,-0.3986467001398571,-0.1488822068154156,-0.4851071293293609,-0.5703623310640454,0.167712572075378,-0.19868865511614786,0.354437257554858,0.3774513612554259,0.6875060164838261,-0.2604859049224731,0.0036401736421839723,0.28362132398090856,-0.2066684878002735,-0.10234568546022688,-0.10699887998571102,0.1918181177059732,-0.06287257256717257,-0.12872770328362396,-0.2447550774686984,0.3451627191459608,-0.29156512986511157,0.4879223859151189,0.77030542938554,0.34288014813245915,0.20632128830732957,0.12731244611556716,0.7104997300980002,0.07128171075476303,-0.19028919491648813,0.26701256977014265,0.2499514254911379,0.5594544737186087,-0.5893155536855834,-0.6846995168762116,-0.5390485567839572,-0.35910076613971303,0.8853071140146651,0.7921556312927229,-0.25959375162847664,0.09413007565355884,0.11925833518921018,0.09324731875628448,-0.09462617493734134,-0.005266856561329989,0.015564981894621986,0.08448853612803028,-0.12135606062907056,-0.09435275908670127,0.35289818509910564,-0.2486670720896978,-0.13520276704101364,-0.18460447988717715
