,dweight,pspwght,pweight,anweight,stfgov,trstlgl,trstplt,trstprt,hhmmb,gndr,agea,atncrse,brwmny,chldhhe,chldhm,cmsrv,cmsrvp,crpdwk,crpdwkp,dngdk,dngdkp,dngna,dngnap,dngnapp,dngoth,dngothp,dngref,dngrefp,domicil,dsbld,dsbldp,edctn,edctnp,eduyrs,emplno,emplnof,emplnom,emplnop,emplrel,emprelp,emprf14,emprm14,estsz,hincfel,hincsrca,hinctnta,hswrk,hswrkp,icomdng,icomdnp,iorgact,iscoco,iscocop,jbspv,jbspvf,jbspvm,jbspvp,mainact,mbtru,mnactic,mnactp,njbspv,njbspvp,occf14b,occm14b,pdjobev,pdjobyr,pdwrk,pdwrkp,rtrd,rtrdp,tporgwk,uemp12m,uemp3m,uemp5yr,uempla,uemplap,uempli,uemplip,wkhct,wkhtot,wkhtotp,wrkac6m,wrkctra,wkdcorga
dweight,1.0,0.9595656196402095,0.022982430540377637,0.9274764446965768,-0.06067033986406589,-0.11381921238956377,-0.014104863301125406,-0.01316269070009593,0.45630648262711593,-0.2420567536741098,-0.26165380943072786,-0.3072549492235793,0.1809728074362825,0.6434803518759413,-0.6077491335382381,0.026158747322981967,0.0440712256096113,0.4282884864217803,-0.22496491476671868,-0.04900481500933345,0.031542353169708354,-0.057013086456191416,-0.09499980388802003,-0.7334732559361459,-0.02401780462690062,0.11849767178072468,-0.015676466317922806,0.031926299147191396,0.04189107624566683,-0.3179153208737624,0.14210983548854955,0.09216713898934281,0.17927888801586545,0.11518207066553572,-0.13537149266174084,-0.08427088628575259,-0.024599039194018787,-0.5071809522118926,0.07913304477953235,-0.6881288255912901,-0.11289698524784408,-0.19162622222365736,-0.0015720234228690268,-0.2511663919131058,-0.23442244601678958,0.06235624183208928,0.17999447293844958,0.4359340344452901,-0.09883009282904491,-0.7352056623593048,0.05937281436057153,0.0165675840490894,-0.6763552200306897,0.006903461603727972,-0.09283475283460986,-0.19934005187653417,-0.6765836746817129,-0.12318619552713153,-0.10931726087718144,-0.3137285951634407,-0.4088658148412354,-0.1635995996738235,-0.6004450630160726,-0.13679782279974254,-0.21692960652354928,0.4497306130820552,0.47514366732883034,0.43088598342369877,0.686259118944798,-0.48795432105277026,0.10414085508130863,0.04300519984420471,0.1158838939762949,0.04362486678151391,0.10654875144954513,-0.12291687168745279,0.16933509807614425,-0.12823936187175455,0.11350587594984986,0.019174938583048053,0.02085151115839055,-0.6864505482663532,0.028452596451244056,0.01935845638669075,0.06992500240074016
pspwght,0.9595656196402095,1.0,0.006506135045032448,0.9654160131522109,-0.03361168890005848,-0.10151972716198258,0.01298720808915551,0.015888516449004103,0.3915298132795457,-0.28307476603237003,-0.3040112066883707,-0.3346645946708735,0.1470692641630785,0.5846877884715775,-0.5457227094096605,-0.0010684436918216261,0.019511198100525488,0.41105431469193515,-0.11403317213334735,-0.05862512989118934,0.03273850946527445,-0.0833711634689909,-0.10573250374898846,-0.5833573197574932,-0.027107054279675382,0.08632326042502253,-0.01958946681666084,0.017631993079828042,-0.07772130206273084,-0.2843327453081868,0.1001920157105927,0.21456251481028876,0.16819779630005272,0.10441365621964255,-0.11953824258880423,-0.1180181273728602,-0.057789364503336514,-0.4308500322624436,0.13397061544594918,-0.5877989528253519,-0.06688586611548024,-0.19628852309449635,0.036228126873368884,-0.17533061321635174,-0.20495306641166008,0.10092693812547344,0.13332862086712308,0.3699284993116412,-0.06874310388896172,-0.5879401495526082,0.11629161286782301,0.07992630549183616,-0.5749980802724172,0.07208733039779679,-0.046788588660203516,-0.21354570277198384,-0.5757234078089477,-0.10225003205774587,-0.04887529950950724,-0.34886886431999486,-0.3398515139878473,-0.11735679186503487,-0.5065508651724039,-0.09051360410516353,-0.22951208992354494,0.4420463994950091,0.4927831281923304,0.41630298191856946,0.5863629655711495,-0.524869699644646,-0.016958183654118244,0.10411769345986159,0.05306549919709876,-0.014897931324311707,0.041192810512817916,-0.05342467731811762,0.15417607219337742,-0.09030433755699506,0.09487579777268886,0.0708312583431357,0.07626116138008834,-0.5858030126719634,0.08812851420872954,0.06726534810801829,0.1253713829467888
pweight,0.022982430540377637,0.006506135045032448,1.0,0.26223205902592145,-0.12618343396840365,-0.07464738401019322,-0.11618893745879506,-0.11247457370278559,-0.11150482575265373,-0.05307157163330953,-0.024946303046240896,-0.048124817614883596,-0.03613389989767545,-0.05625277128434447,-0.005511422842136332,0.01554875667773794,-0.01089818300320104,-0.011538592670852539,0.005239200915953805,-0.0571452371543734,-0.05780420897807498,-0.07644297590090036,-0.07034048803125574,0.0349347759059376,0.010669136618249803,0.004514361788668456,-0.041750704633017666,-0.04810980534407524,-0.04799991585310194,-0.01883743663106152,-0.047783219352396385,-0.010345072824465094,-0.02543084512063944,0.01260746693908799,-0.023109636022111343,-0.040774974121132825,-0.05991186497898743,-0.00873123592953236,-0.04770561877230459,0.027504603992742106,-0.08414806520912596,-0.14450005989910145,-0.0338159177280806,-0.12414962162891624,-0.0689463300622938,-0.12769273355560604,0.05736207489770839,0.01057167968951065,-0.1451023019823668,0.02375132420163531,-0.06583302874071731,-0.023517244781990423,0.015655692549666405,-0.06137515331368508,-0.041525144251368475,-0.06917015988674027,0.013642019158840548,-0.12960197609265717,-0.035248349475430395,-0.03986339700036973,-0.06027329915867973,-0.0452844758616961,0.00168972424536776,-0.10736647792572732,-0.13847933220067893,-0.014954828062871168,-0.033664472572648645,-0.005718574690008829,-0.028707256450313433,0.05906421029005892,0.032859746747496886,-0.057493201939887384,-0.05138121072215609,-0.08630396561071836,-0.04967247666778569,9.901735597246401e-05,-0.06214987805656399,-0.01474207857863832,-0.037984144628515557,-0.0692670099777685,-0.06939906410061687,0.024277470567920335,-0.05852307958474077,-0.05384315823826283,-0.06724497413025357
anweight,0.9274764446965768,0.9654160131522109,0.26223205902592145,1.0,-0.06326447767951977,-0.11631904294328922,-0.015189307409863663,-0.011060417418795817,0.34690298567872935,-0.28659190928909184,-0.30623990061928,-0.33982552995835424,0.12645552696254325,0.551755123494792,-0.5305142395584189,0.0039164560957331155,0.017085589222426936,0.3967996809312276,-0.10107171483090502,-0.07092748977847348,0.018091185477054406,-0.10288070297053001,-0.12276876538353743,-0.5485722712575034,-0.0224645387876051,0.08453060374886419,-0.03247649630655898,0.004759123014415026,-0.09159529977285051,-0.2789613250147139,0.08090873486981476,0.2124352751011406,0.15755874610514922,0.09794464392912827,-0.12359756110497587,-0.1259196567612734,-0.07359576589274688,-0.41386710381955366,0.12589355490408932,-0.5588714284053148,-0.08359903892127606,-0.23182522305330092,0.029221600866236895,-0.19899819411718306,-0.21902318771412016,0.05779606712028127,0.14743180967706432,0.3606755003274315,-0.10557949065006973,-0.5561086679987495,0.1039548435697887,0.07897004544533667,-0.5492210139038912,0.06237000348383065,-0.052774499145061146,-0.22928756080550786,-0.5502674380095628,-0.13538591395998448,-0.0521483277142478,-0.35214012027418046,-0.3450157261767935,-0.12044929126308217,-0.4858936236871407,-0.11370044384720626,-0.2628701731517705,0.4268374402324886,0.47449737888664834,0.4036479969523114,0.5571861896773251,-0.498943398238548,-0.017470214811712934,0.0920858654812222,0.03842912993926333,-0.03754481395079846,0.02727847146296139,-0.05234746496934962,0.13118613572735544,-0.08696334874641656,0.08329305551497898,0.05823216189181472,0.06360077735568956,-0.5577365983040077,0.07856422873592614,0.059136868669445314,0.11218150847675565
stfgov,-0.06067033986406589,-0.03361168890005848,-0.12618343396840365,-0.06326447767951977,1.0,0.5015075176402857,0.5945007210470562,0.6066573269962258,0.003089844256361961,0.11112084540408075,0.06455684226007126,0.13950252546999914,0.09704417386145867,-0.08745042681172512,0.10863692994692171,-0.05916886496412197,-0.06714516680595325,-0.18083741572291454,0.06562286587192978,0.05994878818946262,-0.03414964962007326,0.024501783441944956,0.02364190834786263,0.11974105727388203,-0.007459685251513641,-0.04231199925713112,0.04164705139647931,-0.023272403942541247,-0.0673795905458432,0.05824271659703013,-0.066551776250583,0.2039690592500163,-0.05958505391760743,-0.003064656531378309,0.02289865011025444,-0.01922740454086124,-0.03075758152160547,0.04991969780434269,0.26044441598301477,0.09749957198903791,0.12025593586815868,0.11716232065990341,0.1749703298401951,0.11650705170966233,0.1688184601711393,0.26467580092414267,0.009925089005841254,-0.11565596660139994,0.053422948379399676,0.12330775799468295,0.298294649284856,0.26044685732186246,0.1026871331390172,0.2795692224023151,0.10322571652160975,0.07966372715597667,0.10144597323696125,0.06487172647581198,0.21378218658278977,0.12557123500591233,0.10400485780577674,0.196438951131348,0.07805889424666675,0.1343642506892001,0.09249891849601663,-0.1612906389584164,-0.05971616301395116,-0.18261274522052734,-0.09478163216825738,0.08769675769365012,-0.026543110824945128,0.26053734335136586,0.004185003965274177,0.044945417114664724,0.0013256117827465967,0.05847071995048022,-0.0471444562255969,0.04877526178515688,-0.03363752682766592,0.27884068045092975,0.2808539779221933,0.10152043614752058,0.26547050736079386,0.21926528681995347,0.2942073592351865
trstlgl,-0.11381921238956377,-0.10151972716198258,-0.07464738401019322,-0.11631904294328922,0.5015075176402857,1.0,0.5929943022624423,0.58902434134241,-0.01617380030870195,0.14594083329725763,0.09849916610037075,0.16983136702774831,0.06640676301741173,-0.13887461823388592,0.1508152177499639,-0.04175217178908797,-0.056153195241991485,-0.21432398991429077,-0.0010680137196883964,0.08767005691197507,-0.023289815591616372,0.00924117440064139,0.05855922053818921,0.11221140354210163,-0.010286255086706166,-0.020191459047570446,-0.004664786822525319,-0.022867964137600123,-0.050529775757021236,0.05363624853483754,-0.052887713214129224,0.10428131287099095,-0.051870626467350696,-0.01870234561815966,0.060115572875060176,-2.0602923217060855e-05,-0.018760129061268352,0.08707912100313907,0.13315034704563908,0.1298161900397638,0.08394247320966781,0.11494892337437698,0.13158563158189152,0.05048197474181991,0.14740990724702302,0.17862566544491348,0.0016177857212871481,-0.0929107600948029,0.023395892256377282,0.11761896881532313,0.1735972515060521,0.14764749936162577,0.13170322845477375,0.15959563533576596,0.07596618633875514,0.11375350099558675,0.13069131861851555,0.0442268960499041,0.14410657775471222,0.15922503537888946,0.09100029595396156,0.1375984871793184,0.10837268526355906,0.10105007462815323,0.1089094640420838,-0.20740102951390307,-0.15213123835810985,-0.21518043965461578,-0.1285491260545776,0.193661978271115,0.052758052238728155,0.1437082767137952,0.059234314817826046,0.08224953607904323,0.05946777267637946,0.020361162799803417,-0.04493998639826232,0.016857705050169713,-0.040844834789989994,0.15990363971553065,0.1670685045424492,0.13324539912885655,0.14569981463474824,0.10901978492266905,0.17035817905897144
trstplt,-0.014104863301125406,0.01298720808915551,-0.11618893745879506,-0.015189307409863663,0.5945007210470562,0.5929943022624423,1.0,0.9434536288401246,0.038699902064429775,0.09775044752920647,-0.0003587484871880923,0.08356645358338229,0.06731381354321904,-0.019190333651682812,0.04356865331884429,-0.045924777135201024,-0.056968512935598355,-0.1271650001665598,0.058883494831657515,0.08764796173737892,-0.01616036663409677,-0.023182045384495545,0.03406266262819956,0.06764829059373702,-0.00635765064877876,-0.01875954016823981,0.00286381666869182,-0.020433118478784033,-0.07436339773031965,0.04414385976960524,-0.061600763800871136,0.16939898864753983,-0.030733484181973376,0.024144077001103385,0.022268570054639787,-0.03540308354872832,-0.03266656389805891,0.019970281993056067,0.21221483160288285,0.04354367580846154,0.09900754072659626,0.07863696829588956,0.16003347248716362,0.09797936439129877,0.1281479159305976,0.1835151633215632,0.04796412454024479,-0.0652321762480114,0.01158157394575845,0.07243760209888303,0.2494710167014923,0.21372073909655925,0.047122524240323295,0.22627607400888852,0.07956848152485053,0.05740263214076148,0.04673406755640919,0.02576771876501148,0.16999075579334866,0.07410771294335024,0.06123235501587358,0.14122590934758242,0.028198642221688025,0.10658767523439251,0.0556040165317272,-0.11120104142380577,-0.0262288722108261,-0.1270526990121859,-0.04154370083101961,0.031352741158623604,-0.03923660043387871,0.21775122599780003,-0.021201373930626235,0.003124409892619215,-0.023703055769389896,0.07446273886548177,-0.027551572754159266,0.04075153693560591,-0.027180723557193077,0.2101475736085511,0.2223891106262708,0.047358060815660456,0.21416235557593372,0.17413998247834814,0.23865583675453134
trstprt,-0.01316269070009593,0.015888516449004103,-0.11247457370278559,-0.011060417418795817,0.6066573269962258,0.58902434134241,0.9434536288401246,1.0,0.05373794962641767,0.11270818946832296,0.023347396111574978,0.10443755497503648,0.08093592189357372,-0.028389913894726518,0.05875413492241109,-0.05146146082365436,-0.0599558056584345,-0.13278933045017488,0.057015297807539486,0.08424235176047778,-0.01625812128231451,-0.0023395840577025958,0.05772950405701832,0.0640151329024529,-0.001686290133930046,-0.024318256626500015,-0.006834564205291844,-0.02285580577469311,-0.0677768495749321,0.04084928312154477,-0.05865207734998824,0.16932556791350842,-0.032353771081336864,0.024229932832475192,0.019388157693890372,-0.04162420887017408,-0.03751767721288544,0.015676308699917957,0.2124937732842397,0.04274773301774882,0.11553553010984238,0.09537397318228119,0.15573885803892007,0.10574942472468897,0.13976447767647354,0.19649363545363424,0.04657370761896966,-0.07747183807663637,0.014958889539459608,0.06920281560901734,0.24978466336209248,0.21574680565377113,0.04589960067016395,0.22823150936692038,0.09610230268346957,0.07542795871649231,0.04557929200139615,0.02804379875370376,0.1795488765337722,0.08558525966521302,0.07257459652261221,0.15052684913468412,0.02521203666479263,0.12447027970760735,0.06783005285983958,-0.11669784237920909,-0.031705728880132907,-0.13342022924929897,-0.040234255169200775,0.043038461393211706,-0.03194784524080702,0.21549738975688995,-0.011365726818919909,0.019544801455424515,-0.013560848252601917,0.06382788602696085,-0.031338864830571876,0.03465608034164231,-0.02085407516608233,0.21452886449109304,0.22531438577820445,0.04678571974539136,0.2132980749223625,0.1783857794187683,0.23882473107152302
hhmmb,0.45630648262711593,0.3915298132795457,-0.11150482575265373,0.34690298567872935,0.003089844256361961,-0.01617380030870195,0.038699902064429775,0.05373794962641767,1.0,0.35984940339689575,0.2635634588164381,0.18360167646566933,0.24792106891993,0.4684250340843605,-0.10113420079502444,-0.016108478006277224,-0.021246611805338798,0.24166290117600345,-0.06373569887407692,0.3048342736114662,-0.009244183223703281,0.7415444952865418,0.7184287553450519,-0.4520928951284643,-0.02881148498840039,0.03533177118306593,0.09100007072667313,0.005972407661768222,0.27482776154134614,-0.17830591673391577,0.04618737304867307,0.015318153585018411,0.05947732705644022,0.5100955364285293,-0.043042014678665634,0.025328731039359717,0.13603686241595275,-0.2191964190942587,0.22590774062633528,-0.3973611313533203,0.12696078155022766,0.054188368005673795,0.12562975560571543,0.1448629292121086,0.26216861157915616,0.17461419199185835,0.2097550437973948,0.23248795577780254,-0.034929964999947084,-0.4266371125607189,0.2127064087402554,0.20043090331405775,-0.38044834011866063,0.17913783516561724,0.06546381627930832,-0.025541150040129516,-0.3751947635684494,-0.05562778630147097,0.2599615501096277,0.31864176233328667,-0.13011291494813196,-0.026058414097524765,-0.32345365791868724,0.10113721946994796,-0.020675778211867685,0.25020055320495466,0.29229336012481666,0.19028170704823033,0.4163460181321001,-0.2812845558695482,0.04398194515609519,0.25116815170816625,0.11923964572696003,0.36845524360397675,0.11492667598378305,-0.09275280413769527,0.07826810719410894,-0.05984565209808502,0.040764274855254926,0.168123728549275,0.17912530802796703,-0.3983136931156804,0.2118366038093289,0.15605059250689332,0.21725158559706245
gndr,-0.2420567536741098,-0.28307476603237003,-0.05307157163330953,-0.28659190928909184,0.11112084540408075,0.14594083329725763,0.09775044752920647,0.11270818946832296,0.35984940339689575,1.0,0.2869037714230472,0.2979082191677913,0.06834283648564439,-0.01620108937194367,0.2328817226178596,-0.030754712780448643,-0.06491254332270961,-0.18776523736133616,0.256166553022443,0.1964690158571034,-0.04064688074256485,0.504696573822121,0.4802750341945844,0.18169090882051867,0.04441451735757527,-0.12563218706988816,0.05506968824639991,-0.03199834151384244,0.1377544779870907,0.06993231898369932,-0.0987668308760885,0.08230815224966566,-0.17275966935962014,0.19630281267214966,0.2527386037516821,0.09090517156576797,0.08481585482648865,0.028667196285583472,0.15235697019697209,0.09900267339564632,0.13799951750386777,0.0728302986906245,0.16470681884981897,0.25798644562074496,0.3257854958744028,0.16352369677843762,0.2954639440210095,-0.3658044574630758,-0.11648637107166332,0.20248016856988488,0.17451842340355833,0.20164166467837777,0.10065955158855439,0.21972067117957528,0.10870829062261017,0.041134587375865124,0.0988938463885779,-0.1164310456965378,0.3103628208703656,0.4692897950739666,0.26765345857988376,0.21699757402958747,0.06159423777518265,0.15400433643549502,0.04640637021367252,-0.1875685378922435,-0.14411740085814495,-0.22080271421958744,-0.08062888734352133,0.12403842869013083,-0.11523871601292697,0.21531971032685637,0.15790263789177855,0.3414347215728097,0.15756285985125687,-0.031149099886265925,-0.08134344117244219,0.032573183719188804,-0.12927790207312542,0.13274501561855181,0.1651546807814593,0.09531194005490334,0.211303381449232,0.043067244393984,0.1780347976076894
