,dweight,pspwght,pweight,anweight,stfgov,trstlgl,trstplt,trstprt,hhmmb,gndr,agea,atncrse,brwmny,chldhhe,chldhm,crpdwk,crpdwkp,dngdk,dngdkp,dngna,dngnap,dngnapp,dngoth,dngothp,dngref,dngrefp,domicil,dsbld,dsbldp,dvrcdev,edctn,edctnp,edulvla,edulvlfa,edulvlma,edulvlpa,eduyrs,eisced,eiscedf,eiscedm,eiscedp,emplno,emplnof,emplnom,emplnop,emplrel,emprelp,emprf14,emprm14,estsz,hincfel,hincsrca,hinctnta,hswrk,hswrkp,icomdng,icomdnp,iorgact,iscoco,iscocop,jbspv,jbspvf,jbspvm,jbspvp,lvgptne,mainact,mbtru,mnactic,mnactp,njbspv,njbspvp,occf14b,occm14b,partner,pdjobev,pdjobyr,pdwrk,pdwrkp,rtrd,rtrdp,tporgwk,uemp12m,uemp3m,uemp5yr,uempla,uemplap,uempli,uemplip,wkhct,wkhtot,wkhtotp,wrkac6m,wrkctra,wkdcorga
dweight,1.0,0.851396739059619,0.05127001386828317,0.7355905245108103,-0.10341927237935361,-0.11357680063787881,-0.09799182681955962,-0.09481431850913735,0.1901605700362823,-0.14025290510169613,-0.1866809474674558,-0.17838948574357855,-0.03803823466365411,0.19623429327885333,-0.1959096431073377,0.15454529603846273,0.006146401197907953,-0.03838342012371755,-0.03987606665166959,-0.06943034219218967,-0.06923000398949856,-0.15986566530774132,-0.005910222764357361,0.03165883496870208,-0.05820153731814267,0.01727928538409438,-0.32725805110815426,-0.07082462608880978,-0.006298511087406913,-0.07685166827174215,0.012082558033110043,0.050628638893885976,-0.03008654540800716,-0.14831924689725573,-0.1398652648546611,-0.1767535361473912,0.07033017931604266,-0.029821634443804056,-0.1443818032179543,-0.13750243782650778,-0.16965127156728269,-0.07382087428450099,-0.010316930567514987,-0.11090712252012971,-0.07010754887724381,-0.027899458175775015,-0.20272796786918082,-0.16666971130618918,-0.1871868381268856,-0.09522720372828608,-0.18941919257905712,-0.17491783937906177,-0.013098694741744759,0.04814177834460996,0.1218332537871746,-0.02812498300828836,-0.12476545574236804,-0.023056320135194295,-0.07218653170993367,-0.19071091495201295,-0.045639151346197095,-0.20745736426368594,-0.18561799977533713,-0.1765173911685736,0.09106199496508895,-0.04596726247155479,-0.030890883580503885,-0.14755234339921208,-0.1202969414039171,-0.10652924012602143,-0.11353150827064251,-0.14161375985709432,-0.17802952069998063,-0.18826316104272459,0.1604575278095766,0.1383111961516424,0.16227695277830975,0.18877098142317794,-0.17591584985809097,-0.03040334706235776,-0.05558967012630336,-0.024190821573388182,-0.06149858147175108,-0.028632569799312883,-0.004368945753693422,0.039459908762725274,-0.04231292339677972,-0.015286784354592298,-0.047321202188371596,-0.06493391254802418,-0.19037182752454,-0.04497745287006813,-0.026936397332587948,-0.022153127061087213
pspwght,0.851396739059619,1.0,0.0939442993924493,0.9669238145007665,-0.01125341854190108,-0.03608356763977901,-0.011978681305219906,-0.006672408333962025,0.23413207041979067,-0.27271168719045036,-0.37483110030107397,-0.19389600259518439,-0.018864728790331783,0.1394731009785838,-0.10447683610499915,0.10665292620665097,0.12775728753015445,-0.05431015643581734,-0.0625610038014115,-0.07538648924759335,-0.05123780961027674,0.0039036016893733995,0.011320428167005497,-0.008818796277417065,-0.05040115118165124,-0.015142329158956898,-0.22146380612866456,-0.07882483610326671,-0.07420324527657628,0.11512304715066085,0.22750157536386942,0.029795056185161647,-0.1157269195972839,-0.12993841664110328,-0.10928432651649846,-0.017377829613776145,0.005839463254324658,-0.11024831146256978,-0.11230252540644121,-0.10473142183967092,-0.005722538387983038,-0.0643982035649208,-0.043785890291954996,-0.13259692877156595,-0.07325313490194851,0.18016915202991435,-0.10448316696402123,-0.12012354034156457,-0.2161282386893843,0.08698575961160453,-0.10010704373694751,-0.12571954734018342,0.10680206540356153,-0.0022713086865027684,0.052728876348637606,0.015131544721259474,0.029451620614326084,0.1800035487852961,0.13353803784387364,-0.08954702075650084,0.16511809159780835,-0.15292167012982016,-0.23364082208749695,-0.08454733488796437,0.034312614278246036,0.0008164018839356826,0.13734018059541414,-0.18089240440037185,-0.02410927040870961,0.010537805428773769,-0.09874904953105887,-0.09411393256165734,-0.2238952866934146,-0.032487287267482616,0.13879633215773393,0.23488022944945153,0.11401925575354009,0.09397653103431206,-0.27262642995790753,-0.17896778385771395,0.16290157597805693,-0.05558290424689991,-0.0777962505325358,-0.06247624978539688,0.05432583036047213,0.02715757238477304,0.014029673970264228,-0.014406164202765541,0.1500437570895781,0.1329329006140772,-0.08903395750918233,0.16449618181601589,0.17694961816001736,0.17996951067070605
pweight,0.05127001386828317,0.0939442993924493,1.0,0.23329524333124343,-0.047730332741629695,-0.018416513113115884,-0.0439896783216058,-0.032025158130337655,0.06424288784070516,-0.056168414154018936,0.05924350086069672,-0.16823610890191443,-0.029116647312094093,0.08181439422457241,-0.052011133672889405,-0.08652621614572455,-0.15067384830163202,-0.11646260285222308,-0.0894786656756446,-0.04322510765408188,-0.032758688352269735,-0.06520820893897228,-0.09735414832165956,-0.0669647388216596,-0.026929031754197665,0.054248899282329746,-0.011005133562724317,0.11639496016442344,0.10611262862475355,-0.0571058019991286,-0.015504853101516008,0.06943240302751377,-0.16459493576016562,-0.031076428689826064,-0.031113975996344218,-0.06528056123929778,-0.12544734392853163,-0.1477992003703825,-0.04133226012851225,-0.061020067293809224,-0.04932134982087861,0.3080124381794349,-0.04385112738288739,0.11944248371312328,0.33826633464515937,-0.06360049574588107,0.03484440015871858,-0.06058972226247331,0.03471191639156608,0.02160755730777854,0.02955962330447544,-0.024195206341335096,-0.12381441786273152,0.1836285047078109,0.1573893045985999,-0.010221323041483639,-0.10496315503900744,-0.053457358312677214,-0.08879359335957401,-0.08036685233996942,-0.05264628691894973,-0.06747660493753062,0.04759178660928773,-0.07765944658402542,0.04749311194081814,-0.17171128125694177,-0.2784705424050623,-0.0014404455052708979,-0.133398995560117,-0.10403871570812201,0.12689156504727203,-0.015054571613391928,0.09088480038506001,-0.05051404000954684,-0.09399387517925012,-0.14520501279468603,-0.07656953513238045,-0.03278926674827501,0.08899656822993873,0.12070006424933231,-0.06886109987028399,-0.13623140409923643,-0.1804525964729614,-0.13053618654997365,0.05977528545258608,0.09178242875542415,0.04828371140178281,0.05525573323393891,-0.06982031008715689,-0.08593182507969808,-0.050117175200430866,-0.0654036405379715,-0.07062404993333089,-0.04794232004323311
anweight,0.7355905245108103,0.9669238145007665,0.23329524333124343,1.0,0.0159905894021935,0.0007890785693805116,0.021000803108155296,0.027495808451765826,0.23610042093764233,-0.3023271222495507,-0.4145165299321865,-0.1953352368024523,-0.05661315336832597,0.13208491110441212,-0.08958494055351113,0.08204274739018931,0.11858110891534215,-0.071245126352241,-0.07406620513343637,-0.06737375742236155,-0.05288073803371206,0.025093032689695913,-0.01789880249850084,-0.03177597390043107,-0.046868865859569245,-0.005531709544113682,-0.10276720939782184,-0.06079213705526241,-0.06328517554365191,0.12130756941508078,0.23579971279871953,0.022283582101385483,-0.16483886155475994,-0.1294182898694222,-0.11210503610616593,0.0031319876307678717,-0.043552562781124654,-0.15567887656490106,-0.10967304728905872,-0.10766229723461371,0.018995673728409917,-0.023202341368331107,-0.06135673380701492,-0.10455525836116657,-0.029565796623349117,0.18864726815523147,-0.07258566318449633,-0.10616724387454193,-0.1926074935892641,0.11002939089872923,-0.04891116181866934,-0.10730426561413958,0.10135916700239665,-0.005995158510616157,0.051623738258855946,0.0417742748895041,0.04478998742161486,0.18764959643405887,0.1397042324467695,-0.06880345502825648,0.17736091787057232,-0.1352996086317002,-0.20739125022195615,-0.06562418735364899,-0.002434244615090137,0.011351495573622167,0.13777688727888984,-0.17109316476756922,-0.008612185014094605,0.02903332383886646,-0.0663699674148601,-0.07551078660070286,-0.19625178592954046,-0.008180206130216828,0.11600335001220168,0.21701001815156493,0.09074211243840188,0.06380464493243246,-0.2685941766228263,-0.18662749985978622,0.17852704321182308,-0.10288802077217822,-0.12291037868860444,-0.10918954800825298,0.08747822001728998,0.04912909996779388,0.04616764512514889,0.0057061881557820115,0.15369606464894817,0.1366889953080424,-0.06420568942921924,0.1753494275555784,0.1884643354599363,0.18738171807356072
stfgov,-0.10341927237935361,-0.01125341854190108,-0.047730332741629695,0.0159905894021935,1.0,0.6042937041521551,0.6435904487744244,0.6588684029245837,-0.011225550080475523,0.08177237286151662,-0.0707527468821264,0.02501818033398787,0.10714231825603995,-0.12780772239579258,0.11985428615107,-0.21363727427992632,0.03599079521510906,0.03136395517531373,-0.02270838802577422,-0.0768624013510936,-0.034763225049232745,0.14749407204718498,0.03419136858842068,-0.052047844167197606,-0.004200833757454654,-0.07047060470755091,0.05900779103576456,0.048978855429454585,-0.051757447635645715,0.09996651446483473,0.266982829558992,-0.030649834515137798,-0.0595376659739973,0.0773340231774196,0.10013394209458178,0.1533158282758748,-0.12838050699915868,-0.0645393118010586,0.08711096110100654,0.09955690900672426,0.14007279714200915,0.004624033796352246,-0.019365107096191565,-0.05615168850115476,-0.08034307342709206,0.277002553097906,0.12512920135286051,0.12184811076729142,0.09160798460574003,0.2887781266662235,0.10051896169172671,0.0908974109013802,0.20693048095545644,0.03051325537654655,-0.07466770737978615,-0.04565248759858905,0.14986194290770521,0.29059431012624165,0.27607183890889275,0.13466457967554651,0.27651216448875765,0.1570336384457451,0.09630777054676652,0.13113611874003459,-0.08019956741259457,-0.015335787862611047,0.09489710985100322,0.035576826407234204,0.05499392333629841,0.08446618869793976,1.3676714296831166e-05,0.11130376624596132,0.052918575572530095,0.11849873795051044,-0.19071324558125263,-0.02777136962758071,-0.21440321670140702,-0.13418953787835652,0.07636879608565536,0.0016103105306135145,0.2910112653224822,0.08502360395045075,0.08618463613612781,0.08943449935044843,-0.005221060986724596,-0.051721930049719124,0.012622051999356296,-0.04923479668977772,0.306996069221421,0.3129853870594774,0.13109043042837468,0.28750060995470084,0.2748712405779103,0.2889957667977775
trstlgl,-0.11357680063787881,-0.03608356763977901,-0.018416513113115884,0.0007890785693805116,0.6042937041521551,1.0,0.8570382815311656,0.8468731265199048,-0.08182272049861875,0.12947619281319872,0.004592970898433197,0.03572763168305998,0.07795782439600922,-0.1575819398189231,0.1309941581671223,-0.23553459498616602,0.005370475557628536,0.0375931144130794,-0.0483888807760361,-0.08237626355241809,-0.060924622748410644,0.16104230661477212,0.014004926441080189,-0.06949905779225375,-0.023412528755701233,-0.03363248289696024,0.07044920951461192,0.04915450477787436,-0.039939108257449,0.052935495897884724,0.17347752856224177,-0.06341042439697563,-0.1369841723891567,0.034634502176411605,0.06354071282528966,0.166507739405664,-0.18007754436151852,-0.1439931307710078,0.01581416496123448,0.03197457455995038,0.15115824705799782,0.06453713874892363,-0.04296511686396456,-0.026993199657014237,-0.042694551570273014,0.18023094196562442,0.15745963646881717,0.05730884742356901,0.07646673263148872,0.22414564412035057,0.10109258016656024,0.031193403331375817,0.1100098270245363,0.007102099051490482,-0.10463117964106843,-0.020993752176890715,0.16503048049799718,0.1864712893890953,0.19382406061928634,0.16262845793173542,0.1829883221402613,0.12009811719771551,0.12368398436401667,0.15589069087003968,-0.13213269444197215,0.011044856144456107,0.02753402010509594,0.056810931920672006,0.08526170430491405,0.08157285555540604,0.008110735397748923,0.045851513795961876,0.0700267683866696,0.12661718812063905,-0.223938950885501,-0.10655957311202842,-0.2334026972819278,-0.16863325497288353,0.1543208521048263,0.03923418213256565,0.19816019548188643,0.09670698143501706,0.08122818593309558,0.0991786787920406,-0.027060399372788303,-0.05649081151034258,0.029155514065381832,-0.039389462582818606,0.2089119095566785,0.21941088130627853,0.15300465275520353,0.19205642528531486,0.17073016578201225,0.18478524181099287
trstplt,-0.09799182681955962,-0.011978681305219906,-0.0439896783216058,0.021000803108155296,0.6435904487744244,0.8570382815311656,1.0,0.9776236601883993,-0.04513776863519095,0.09969209009517929,-0.04325967854465093,0.012484412912730699,0.10047000173558221,-0.14446827991780983,0.12431024832065356,-0.20324458691461486,0.03538897220752252,0.04852336304444214,-0.03463307045691224,-0.06466179344472926,-0.04487836037286879,0.15477445182592253,0.011569428115053385,-0.0813077042930973,-0.029944192649756354,-0.043465319186253,0.031579890040498625,0.01961357817518892,-0.06847310709759957,0.07462894807142739,0.22061623478871048,-0.06345394366723078,-0.11631761628123798,0.023317044912324086,0.0391048280696906,0.16486418417080742,-0.133190410839969,-0.11753722943537401,0.009587076147916467,0.02157123278593383,0.14454185500889016,0.036538529836162396,-0.03956719575499549,-0.041098577050750686,-0.051553208040955464,0.22407250305499984,0.13042182720359105,0.050993972396575986,0.041052954304968144,0.2357247229088612,0.06404192992751404,0.051552667605071725,0.14622104041300438,-0.020708714962852717,-0.11213429013540953,0.00023690010298846862,0.16253440235607297,0.235976108059416,0.22719546969142526,0.14223927374793932,0.2238186369585303,0.10500250928881233,0.08379473849978478,0.13479463126551033,-0.13660508241530595,0.03728546470681906,0.05568073983112613,0.0442965199844169,0.09640394845327092,0.07839091006529707,-0.026771404169709807,0.04086244629882446,0.02055908484553174,0.12336557213175688,-0.18558406161147384,-0.04703601522269038,-0.2027241549880096,-0.14100099228331278,0.10371315903900112,0.010618956986793557,0.23966522510993302,0.12312694403491745,0.10878879731657876,0.12456765470696096,-0.042312042273193344,-0.06290243381933618,-0.013200248996380686,-0.05556170643552694,0.24178018501762338,0.2505908195778173,0.13092072820919762,0.23561466781792953,0.21106822510650922,0.23495258549038173
trstprt,-0.09481431850913735,-0.006672408333962025,-0.032025158130337655,0.027495808451765826,0.6588684029245837,0.8468731265199048,0.9776236601883993,1.0,-0.03927638485842878,0.09813855935689861,-0.05895594816812027,0.005856399873154214,0.11455942010606628,-0.14971255064449135,0.1417770056019897,-0.2028298874934982,0.05279747519688649,0.04527602921392233,-0.03842247932663583,-0.06570793387829219,-0.031491991338265135,0.17276711953536786,0.017347085991235835,-0.0809511677390408,-0.029074143477364214,-0.04588319934011336,0.03364277281641172,0.016334676667082264,-0.06964330785847336,0.10135479574498799,0.24238793204731782,-0.06396736665341549,-0.12652291739093602,0.002552072898009395,0.02140489292008944,0.18388414074654763,-0.12912717834758886,-0.12662102738887845,-0.007312516157390909,0.007716307054379984,0.16505473816043092,0.04266304683052577,-0.060057516189265255,-0.04684527112593734,-0.04785826655757695,0.24283016638879576,0.13882884317030764,0.032118579234297506,0.02447305707402071,0.2464826830012575,0.06873166233850156,0.05135918240166122,0.15897883000230137,-0.022380021674819093,-0.11779547682511642,-0.0013301957079057485,0.1810438228085648,0.25249374553402965,0.24448108590979975,0.1504627007453334,0.24135822727337317,0.08745656438533662,0.07045441139043501,0.14319102589510446,-0.14135183745021493,0.03727119306797686,0.07769295150481319,0.03630212844818625,0.102283071093413,0.08683009904626679,-0.026146806515545504,0.02280151648509431,0.00908661588688428,0.15013726448956188,-0.18265705322015657,-0.03372815354467374,-0.2022214183461564,-0.1487407903832946,0.08928804308417523,-0.006543029333572561,0.2575853025453014,0.1167961677460746,0.10279341038258992,0.11778124655360685,-0.03509366857821361,-0.06635068889561868,-0.009507349337287923,-0.06992162715734855,0.25763495873310455,0.2664841014521408,0.14010785656420582,0.25286803849991507,0.2260072101942541,0.25140018509687806
hhmmb,0.1901605700362823,0.23413207041979067,0.06424288784070516,0.23610042093764233,-0.011225550080475523,-0.08182272049861875,-0.04513776863519095,-0.03927638485842878,1.0,-0.16260591880244132,-0.42596500577867086,-0.20119184030577322,0.008868543025607616,0.624324856089467,-0.5213908206831889,0.27619089497554555,0.043569845530509306,-0.024720023057360648,-0.0015981341988392597,0.017394915808497682,0.4147669944619271,-0.4169414727123095,0.07797137620172408,0.1279370074542494,0.08974035160745691,0.04790220750626051,0.1153127200484736,-0.10050265648746107,0.05006302127033095,-0.14520381530542878,0.14454070142055303,0.13694837322491046,0.07440662851237034,-0.13254787363592424,-0.14068625963500309,-0.42161363328366863,0.12928884898429435,0.0877620712038977,-0.13706315519000073,-0.13436628771515108,-0.42661590993141596,-0.02814855718911971,0.09766285651245009,-0.03098898183704067,0.03726002491279988,0.1707996260386443,-0.45602367219535117,-0.14309220869618963,-0.28364626234713347,0.014787575745555745,-0.05891072735925927,0.011735172115197931,0.1429354837210039,0.2035627483242895,0.3332297619050076,-0.05873368018785784,-0.3543708024084533,0.1680963718274114,0.14417847052444846,-0.4847447601297783,0.16062151523704365,-0.23672079273141466,-0.3527101340255787,-0.47625877129688304,0.24308112400215243,-0.10239039224710385,0.1822229691131742,-0.1425888019251222,-0.26413535522769943,0.011701456834761361,-0.15693556175146714,-0.11542752799709884,-0.3037086475359923,-0.3923194449893886,0.3119401439287114,0.3846582495654137,0.2732751104562849,0.4650031071262368,-0.5118786264873677,-0.1740220616624785,0.15049972004460144,-0.21788121634070204,-0.17689271214854627,-0.22363519640569612,0.09279145035463628,0.18729331931814605,0.09975607745897376,0.1091932872008272,0.1340571737476699,0.10533711936110234,-0.46114778740370493,0.1478451292670754,0.15943651406051784,0.17624134268376798
gndr,-0.14025290510169613,-0.27271168719045036,-0.056168414154018936,-0.3023271222495507,0.08177237286151662,0.12947619281319872,0.09969209009517929,0.09813855935689861,-0.16260591880244132,1.0,0.13439989276083,0.05431621507678542,-0.10732221928610389,-0.06276708742593833,0.039600212958616085,-0.21431529393281323,0.1497289415384484,0.013844774378552374,-0.03545257359489098,-0.01851858625982364,-0.034687462059802825,0.16757708599294546,-0.003938441290371052,-0.11509946827145758,-0.04158202439211515,-0.03669507120958947,-0.056797916100342266,0.03340006287673706,-0.07782634185397845,0.006640406640929455,0.009214339358991528,-0.11079689682189185,-0.046389401743925786,0.08513910370617958,0.03023235855563327,0.18864395995252348,-0.10415324689847127,-0.041503320875771584,0.05074565630871566,0.018294059758867838,0.14949459640359417,0.15674633549845216,-0.011305676925415157,-0.039926644983490564,-0.11111228455826637,0.013320081674610369,0.06794759074786692,0.04989808398757724,0.05791789959910189,0.046724973306035235,0.07441518508206674,-0.01469794977552803,-0.07429706088101999,0.20509685758403065,-0.3470438628641835,-0.07945578835301438,0.1718633230653008,0.006874852731076187,0.04559726991604186,0.09949199328712241,0.043025004969833386,0.10357463788303567,0.09283635143062222,0.10361857506196999,-0.12037777819228201,-0.08862216350138992,-0.06048291498858371,0.1261680701231177,0.23210461610170335,0.1992767611831365,-0.06908146855589167,0.034484878260367474,0.06578085628219707,0.15500948665075837,-0.22403908133895722,-0.21046547850953132,-0.21298340101894528,-0.07161776339502834,0.19445547961913537,-0.03697692080912475,0.025153459966606458,0.08335162562235177,0.05679023968336481,0.08731611360492657,-0.04450502567807862,-0.09773428197041734,0.013762681807753242,-0.04887083506626092,-0.008303286085943653,0.012617288243490172,0.0844440168451902,0.036837615161446194,-0.035860178770665774,0.006760014018739853
